Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,BaseFile,composite_key
Class,100006.kdtree_visualizer,claude-4-5-haiku/100006.py,15.0,2.0,9.0,5.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,,7.0,1.0,7.0,7.0,154.0,23.0,64.0,23.0,54.0,73.0,,,61.0,23.0,51.0,,,,,,6.0,6.0,6.0,6.0,3.0,0.0,2.0,1.14,21.0,21.0,21.0,21.0,10.0,100006.py,100006.kdtree_visualizer:::100006.py
Class,100017.package_builder,claude-4-5-haiku/100017.py,15.0,1.0,10.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,8.0,1.0,0.0,,,,,10.0,2.0,10.0,10.0,169.0,24.0,103.0,34.0,92.0,42.0,,,84.0,34.0,73.0,,,,,,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.41,25.0,25.0,25.0,25.0,10.0,100017.py,100017.package_builder:::100017.py
Class,100018.package_extractor,claude-4-5-haiku/100018.py,15.0,2.0,12.0,3.0,4.0,4.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,,,,,5.0,1.0,5.0,5.0,99.0,18.0,70.0,20.0,63.0,19.0,,,62.0,20.0,55.0,,,,,,16.0,16.0,16.0,16.0,9.0,0.0,2.0,0.27,23.0,23.0,23.0,23.0,14.0,100018.py,100018.package_extractor:::100018.py
Class,100020.pyclustering_type_data,claude-4-5-haiku/100020.py,18.0,2.0,13.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,2.0,54.0,7.0,37.0,17.0,30.0,10.0,,,17.0,15.0,12.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.27,2.0,2.0,2.0,2.0,2.0,100020.py,100020.pyclustering_type_data:::100020.py
Class,100024.dsatur,claude-4-5-haiku/100024.py,17.0,2.0,9.0,6.0,4.0,4.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,,,,,6.0,3.0,6.0,6.0,109.0,16.0,54.0,29.0,47.0,39.0,,,53.0,29.0,46.0,,,,,,10.0,10.0,11.0,11.0,1.0,0.0,5.0,0.72,22.0,22.0,24.0,24.0,6.0,100024.py,100024.dsatur:::100024.py
Class,100029.cnn_dynamic,claude-4-5-haiku/100029.py,17.0,3.0,9.0,5.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,,,,,5.0,2.0,5.0,5.0,96.0,19.0,48.0,26.0,42.0,29.0,,,48.0,26.0,42.0,,,,,,8.0,8.0,8.0,8.0,7.0,0.0,3.0,0.6,19.0,19.0,19.0,19.0,11.0,100029.py,100029.cnn_dynamic:::100029.py
Class,100030.cnn_network,claude-4-5-haiku/100030.py,18.0,2.0,11.0,5.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,,,,,11.0,6.0,11.0,11.0,236.0,31.0,125.0,51.0,108.0,80.0,,,117.0,51.0,100.0,,,,,,10.0,10.0,10.0,10.0,5.0,0.0,5.0,0.64,45.0,45.0,45.0,45.0,17.0,100030.py,100030.cnn_network:::100030.py
Class,100031.cnn_visualizer,claude-4-5-haiku/100031.py,21.0,3.0,12.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,3.0,3.0,73.0,10.0,40.0,20.0,28.0,23.0,,,37.0,17.0,28.0,,,,,,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.57,4.0,4.0,4.0,4.0,3.0,100031.py,100031.cnn_visualizer:::100031.py
Class,100037.dynamic_visualizer,claude-4-5-haiku/100037.py,13.0,1.0,8.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,,,,,12.0,3.0,13.0,13.0,183.0,21.0,100.0,30.0,85.0,62.0,,,76.0,29.0,62.0,,,,,,8.0,8.0,8.0,8.0,1.0,0.0,4.0,0.62,38.0,38.0,38.0,38.0,13.0,100037.py,100037.dynamic_visualizer:::100037.py
Class,100038.digit_application,claude-4-5-haiku/100038.py,15.0,2.0,13.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,,,,,10.0,10.0,10.0,10.0,161.0,32.0,129.0,51.0,115.0,0.0,,,124.0,44.0,110.0,,,,,,4.0,4.0,4.0,4.0,3.0,0.0,3.0,0.0,20.0,20.0,20.0,20.0,14.0,100038.py,100038.digit_application:::100038.py
