Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,BaseFile,composite_key
Class,100006.kdtree_visualizer,gpt-3-5/100006.py,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,,,,,7.0,3.0,7.0,7.0,42.0,6.0,36.0,15.0,28.0,0.0,,,35.0,15.0,27.0,,,,,,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,10.0,10.0,10.0,10.0,7.0,100006.py,100006.kdtree_visualizer:::100006.py
Class,100017.package_builder,gpt-3-5/100017.py,6.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,,,,,10.0,2.0,10.0,10.0,69.0,10.0,41.0,14.0,30.0,23.0,,,34.0,14.0,23.0,,,,,,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.56,17.0,17.0,17.0,17.0,14.0,100017.py,100017.package_builder:::100017.py
Class,100018.package_extractor,gpt-3-5/100018.py,4.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,1.0,6.0,6.0,33.0,6.0,15.0,10.0,8.0,12.0,,,15.0,10.0,8.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8,6.0,6.0,6.0,6.0,6.0,100018.py,100018.package_extractor:::100018.py
Class,100020.pyclustering_type_data,gpt-3-5/100020.py,12.0,0.0,9.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,2.0,2.0,31.0,1.0,21.0,5.0,16.0,9.0,,,13.0,3.0,10.0,,,,,,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.43,8.0,8.0,8.0,8.0,8.0,100020.py,100020.pyclustering_type_data:::100020.py
Class,100024.dsatur,gpt-3-5/100024.py,12.0,0.0,8.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,,,,,7.0,4.0,7.0,7.0,95.0,9.0,58.0,28.0,50.0,28.0,,,57.0,28.0,49.0,,,,,,8.0,8.0,8.0,8.0,1.0,0.0,4.0,0.48,22.0,22.0,22.0,22.0,7.0,100024.py,100024.dsatur:::100024.py
Class,100029.cnn_dynamic,gpt-3-5/100029.py,10.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,,5.0,2.0,5.0,5.0,59.0,5.0,25.0,16.0,19.0,29.0,,,25.0,16.0,19.0,,,,,,4.0,4.0,4.0,4.0,1.0,0.0,3.0,1.16,14.0,14.0,14.0,14.0,5.0,100029.py,100029.cnn_dynamic:::100029.py
Class,100030.cnn_network,gpt-3-5/100030.py,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,11.0,0.0,11.0,11.0,33.0,10.0,23.0,12.0,11.0,0.0,,,23.0,12.0,11.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,11.0,100030.py,100030.cnn_network:::100030.py
Class,100031.cnn_visualizer,gpt-3-5/100031.py,10.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,3.0,3.0,38.0,2.0,10.0,7.0,3.0,26.0,,,7.0,4.0,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.6,3.0,3.0,3.0,3.0,3.0,100031.py,100031.cnn_visualizer:::100031.py
Class,100037.dynamic_visualizer,gpt-3-5/100037.py,6.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,12.0,0.0,13.0,13.0,103.0,13.0,28.0,15.0,13.0,62.0,,,27.0,14.0,13.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.21,13.0,13.0,13.0,13.0,13.0,100037.py,100037.dynamic_visualizer:::100037.py
Class,100038.digit_application,gpt-3-5/100038.py,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,9.0,0.0,9.0,9.0,28.0,9.0,19.0,10.0,9.0,0.0,,,19.0,10.0,9.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,100038.py,100038.digit_application:::100038.py
