Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,BaseFile,composite_key
Class,100006.kdtree_visualizer,gpt-oss/100006.py,11.0,0.0,8.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,,7.0,1.0,7.0,7.0,93.0,9.0,61.0,26.0,52.0,25.0,,,60.0,26.0,51.0,,,,,,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.41,15.0,15.0,15.0,15.0,11.0,100006.py,100006.kdtree_visualizer:::100006.py
Class,100017.package_builder,gpt-oss/100017.py,10.0,0.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,11.0,1.0,0.0,,,,,11.0,2.0,11.0,11.0,126.0,11.0,63.0,20.0,51.0,55.0,,,60.0,20.0,48.0,,,,,,5.0,5.0,6.0,6.0,5.0,0.0,2.0,0.87,23.0,23.0,24.0,24.0,19.0,100017.py,100017.package_builder:::100017.py
Class,100018.package_extractor,gpt-oss/100018.py,11.0,0.0,8.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,5.0,2.0,0.0,,,,,6.0,1.0,6.0,6.0,74.0,7.0,50.0,24.0,43.0,23.0,,,44.0,24.0,37.0,,,,,,9.0,9.0,9.0,9.0,7.0,0.0,2.0,0.46,16.0,16.0,16.0,16.0,12.0,100018.py,100018.package_extractor:::100018.py
Class,100020.pyclustering_type_data,gpt-oss/100020.py,8.0,0.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,2.0,2.0,47.0,3.0,32.0,8.0,27.0,12.0,,,12.0,6.0,9.0,,,,,,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.38,4.0,4.0,4.0,4.0,2.0,100020.py,100020.pyclustering_type_data:::100020.py
Class,100024.dsatur,gpt-oss/100024.py,13.0,1.0,6.0,6.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,,,,,5.0,4.0,5.0,5.0,72.0,9.0,31.0,22.0,25.0,33.0,,,31.0,20.0,25.0,,,,,,5.0,5.0,5.0,5.0,1.0,0.0,2.0,1.06,9.0,9.0,9.0,9.0,5.0,100024.py,100024.dsatur:::100024.py
Class,100029.cnn_dynamic,gpt-oss/100029.py,15.0,1.0,7.0,6.0,3.0,3.0,3.0,3.0,2.0,0.0,5.0,0.0,0.0,,,,,5.0,2.0,5.0,5.0,86.0,12.0,38.0,23.0,32.0,36.0,,,38.0,23.0,32.0,,,,,,5.0,5.0,5.0,5.0,4.0,0.0,1.0,0.95,16.0,16.0,16.0,16.0,8.0,100029.py,100029.cnn_dynamic:::100029.py
Class,100030.cnn_network,gpt-oss/100030.py,10.0,0.0,8.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,9.0,2.0,0.0,,,,,11.0,6.0,11.0,11.0,118.0,14.0,89.0,47.0,76.0,17.0,,,86.0,47.0,73.0,,,,,,8.0,8.0,8.0,8.0,3.0,0.0,3.0,0.19,29.0,29.0,29.0,29.0,13.0,100030.py,100030.cnn_network:::100030.py
Class,100031.cnn_visualizer,gpt-oss/100031.py,24.0,0.0,17.0,7.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,,,,,0.0,0.0,3.0,3.0,82.0,2.0,56.0,32.0,49.0,24.0,,,53.0,29.0,49.0,,,,,,3.0,3.0,3.0,3.0,1.0,0.0,1.0,0.43,9.0,9.0,9.0,9.0,3.0,100031.py,100031.cnn_visualizer:::100031.py
Class,100037.dynamic_visualizer,gpt-oss/100037.py,13.0,0.0,8.0,5.0,3.0,3.0,3.0,3.0,2.0,0.0,7.0,0.0,0.0,,,,,12.0,5.0,13.0,13.0,189.0,13.0,110.0,38.0,95.0,66.0,,,91.0,37.0,77.0,,,,,,10.0,10.0,11.0,11.0,9.0,0.0,4.0,0.6,38.0,38.0,41.0,41.0,21.0,100037.py,100037.dynamic_visualizer:::100037.py
Class,100038.digit_application,gpt-oss/100038.py,14.0,1.0,12.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,,10.0,10.0,10.0,10.0,154.0,21.0,118.0,49.0,107.0,18.0,,,112.0,44.0,101.0,,,,,,4.0,4.0,4.0,4.0,3.0,0.0,1.0,0.15,21.0,21.0,21.0,21.0,12.0,100038.py,100038.digit_application:::100038.py
