Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,BaseFile,composite_key
Abstract Class,100006.kdtree_visualizer,human/100006.py,11.0,0.0,9.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,,,,,7.0,2.0,7.0,7.0,124.0,20.0,66.0,30.0,58.0,38.0,,,66.0,30.0,58.0,,,,,,5.0,5.0,5.0,5.0,3.0,0.0,3.0,0.58,21.0,21.0,21.0,21.0,9.0,100006.py,100006.kdtree_visualizer:::100006.py
Class,100017.package_builder,human/100017.py,9.0,0.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,,,,,11.0,2.0,11.0,11.0,110.0,16.0,76.0,25.0,64.0,18.0,,,72.0,25.0,60.0,,,,,,4.0,4.0,4.0,4.0,4.0,0.0,2.0,0.24,24.0,24.0,24.0,24.0,19.0,100017.py,100017.package_builder:::100017.py
Abstract Class,100018.package_extractor,human/100018.py,8.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,,,,,5.0,1.0,5.0,5.0,55.0,11.0,33.0,15.0,26.0,11.0,,,31.0,15.0,24.0,,,,,,5.0,5.0,5.0,5.0,3.0,0.0,2.0,0.33,12.0,12.0,12.0,12.0,8.0,100018.py,100018.package_extractor:::100018.py
Class,100020.pyclustering_type_data,human/100020.py,6.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,2.0,33.0,5.0,19.0,17.0,14.0,9.0,,,17.0,15.0,14.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.47,2.0,2.0,2.0,2.0,2.0,100020.py,100020.pyclustering_type_data:::100020.py
Class,100024.dsatur,human/100024.py,20.0,3.0,12.0,5.0,4.0,4.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0,,,,,5.0,3.0,5.0,5.0,109.0,19.0,62.0,29.0,56.0,28.0,,,62.0,29.0,56.0,,,,,,15.0,15.0,15.0,15.0,4.0,0.0,4.0,0.45,22.0,22.0,22.0,22.0,8.0,100024.py,100024.dsatur:::100024.py
Class,100029.cnn_dynamic,human/100029.py,16.0,2.0,9.0,5.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,,,,,5.0,2.0,5.0,5.0,90.0,17.0,44.0,27.0,38.0,29.0,,,44.0,27.0,38.0,,,,,,6.0,6.0,6.0,6.0,4.0,0.0,3.0,0.66,14.0,14.0,16.0,16.0,8.0,100029.py,100029.cnn_dynamic:::100029.py
Class,100030.cnn_network,human/100030.py,16.0,2.0,9.0,5.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,,,,,11.0,8.0,11.0,11.0,220.0,42.0,98.0,46.0,86.0,80.0,,,95.0,45.0,83.0,,,,,,9.0,9.0,10.0,10.0,1.0,0.0,4.0,0.82,31.0,31.0,32.0,32.0,11.0,100030.py,100030.cnn_network:::100030.py
Class,100031.cnn_visualizer,human/100031.py,15.0,3.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,3.0,3.0,55.0,13.0,19.0,12.0,12.0,23.0,,,16.0,9.0,12.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.21,3.0,3.0,3.0,3.0,3.0,100031.py,100031.cnn_visualizer:::100031.py
Class,100037.dynamic_visualizer,human/100037.py,10.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,,,,,12.0,3.0,13.0,13.0,153.0,27.0,64.0,34.0,49.0,62.0,,,62.0,33.0,48.0,,,,,,4.0,4.0,4.0,4.0,1.0,0.0,2.0,0.97,24.0,24.0,26.0,26.0,13.0,100037.py,100037.dynamic_visualizer:::100037.py
Class,100038.digit_application,human/100038.py,7.0,0.0,7.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,,,,,9.0,0.0,9.0,9.0,78.0,9.0,69.0,37.0,59.0,1.0,,,69.0,34.0,59.0,,,,,,5.0,5.0,8.0,8.0,1.0,0.0,3.0,0.01,18.0,18.0,21.0,21.0,9.0,100038.py,100038.digit_application:::100038.py
Class,100045.hhn_parameters,human/100045.py,28.0,0.0,23.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1.0,22.0,1.0,1.0,36.0,3.0,24.0,24.0,22.0,9.0,,,24.0,24.0,22.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.38,1.0,1.0,1.0,1.0,1.0,100045.py,100045.hhn_parameters:::100045.py
Class,100050.legion_dynamic,human/100050.py,9.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,,,,,7.0,4.0,7.0,7.0,80.0,18.0,32.0,15.0,21.0,30.0,,,29.0,12.0,21.0,,,,,,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.94,13.0,13.0,13.0,13.0,7.0,100050.py,100050.legion_dynamic:::100050.py
Class,100054.pcnn_dynamic,human/100054.py,13.0,2.0,7.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,,,,,8.0,4.0,8.0,8.0,115.0,21.0,59.0,28.0,48.0,35.0,,,57.0,26.0,48.0,,,,,,7.0,7.0,7.0,7.0,1.0,0.0,4.0,0.59,25.0,25.0,25.0,25.0,8.0,100054.py,100054.pcnn_dynamic:::100054.py
Class,100057.pcnn_visualizer,human/100057.py,17.0,2.0,10.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,3.0,3.0,62.0,10.0,35.0,21.0,28.0,17.0,,,32.0,18.0,28.0,,,,,,4.0,4.0,4.0,4.0,1.0,0.0,3.0,0.49,6.0,6.0,6.0,6.0,3.0,100057.py,100057.pcnn_visualizer:::100057.py
