Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,BaseFile,composite_key
Function,100002.countLines,claude-4-5-haiku/100002.py,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,9.0,4.0,8.0,2.0,3.0,0.0,9.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,0.22,,,,,,100002.py,100002.countLines:::100002.py
Function,100043.do_less_expensive_things,claude-4-5-haiku/100043.py,,,,,,,,,,,,,,,,,,,,,,32.0,7.0,20.0,14.0,13.0,5.0,1.0,0.0,20.0,14.0,13.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.25,,,,,,100043.py,100043.do_less_expensive_things:::100043.py
Function,100050.connected_components,claude-4-5-haiku/100050.py,,,,,,,,,,,,,,,,,,,,,,39.0,6.0,23.0,8.0,19.0,12.0,10.0,1.0,18.0,8.0,14.0,6.0,6.0,6.0,6.0,1.0,,,,,,,2.0,0.52,,,,,,100050.py,100050.connected_components:::100050.py
Function,100051.watershed_with_seeds,claude-4-5-haiku/100051.py,,,,,,,,,,,,,,,,,,,,,,35.0,6.0,15.0,8.0,11.0,14.0,4.0,1.0,13.0,8.0,9.0,3.0,3.0,3.0,3.0,1.0,,,,,,,1.0,0.93,,,,,,100051.py,100051.watershed_with_seeds:::100051.py
Function,100054.task2ics,claude-4-5-haiku/100054.py,,,,,,,,,,,,,,,,,,,,,,78.0,11.0,62.0,11.0,61.0,5.0,15.0,1.0,33.0,9.0,32.0,7.0,7.0,7.0,7.0,6.0,,,,,,,3.0,0.08,,,,,,100054.py,100054.task2ics:::100054.py
Function,100109.findXAt,claude-4-5-haiku/100109.py,,,,,,,,,,,,,,,,,,,,,,50.0,9.0,30.0,13.0,26.0,11.0,27.0,1.0,29.0,13.0,25.0,10.0,10.0,11.0,11.0,8.0,,,,,,,5.0,0.37,,,,,,100109.py,100109.findXAt:::100109.py
Function,100133.copy_files,claude-4-5-haiku/100133.py,,,,,,,,,,,,,,,,,,,,,,29.0,5.0,17.0,5.0,16.0,7.0,14.0,1.0,16.0,5.0,15.0,8.0,8.0,9.0,9.0,1.0,,,,,,,4.0,0.41,,,,,,100133.py,100133.copy_files:::100133.py
Function,100143.create_lxc_with_overlays,claude-4-5-haiku/100143.py,,,,,,,,,,,,,,,,,,,,,,80.0,15.0,53.0,16.0,48.0,12.0,16.0,1.0,31.0,13.0,27.0,6.0,6.0,7.0,7.0,3.0,,,,,,,1.0,0.23,,,,,,100143.py,100143.create_lxc_with_overlays:::100143.py
Function,100186._pdf_find_urls,claude-4-5-haiku/100186.py,,,,,,,,,,,,,,,,,,,,,,37.0,4.0,29.0,6.0,28.0,4.0,1.0,0.0,7.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.14,,,,,,100186.py,100186._pdf_find_urls:::100186.py
Function,100187.find_urls,claude-4-5-haiku/100187.py,,,,,,,,,,,,,,,,,,,,,,105.0,17.0,79.0,17.0,77.0,9.0,4032.0,4.0,58.0,16.0,56.0,20.0,20.0,23.0,23.0,1.0,,,,,,,4.0,0.11,,,,,,100187.py,100187.find_urls:::100187.py
