Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,BaseFile,composite_key
Function,100002.countLines,gpt-3-5/100002.py,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,8.0,4.0,7.0,0.0,2.0,0.0,8.0,3.0,7.0,2.0,2.0,2.0,2.0,1.0,,,,,,,2.0,0.0,,,,,,100002.py,100002.countLines:::100002.py
Function,100043.do_less_expensive_things,gpt-3-5/100043.py,,,,,,,,,,,,,,,,,,,,,,18.0,3.0,13.0,9.0,9.0,2.0,1.0,0.0,13.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.15,,,,,,100043.py,100043.do_less_expensive_things:::100043.py
Function,100050.connected_components,gpt-3-5/100050.py,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.0,,,,,,100050.py,100050.connected_components:::100050.py
Function,100051.watershed_with_seeds,gpt-3-5/100051.py,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,8.0,5.0,4.0,0.0,2.0,0.0,8.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,,,,,,,1.0,0.0,,,,,,100051.py,100051.watershed_with_seeds:::100051.py
Function,100054.task2ics,gpt-3-5/100054.py,,,,,,,,,,,,,,,,,,,,,,23.0,5.0,12.0,7.0,11.0,6.0,2.0,0.0,12.0,6.0,11.0,2.0,2.0,2.0,2.0,1.0,,,,,,,1.0,0.5,,,,,,100054.py,100054.task2ics:::100054.py
Function,100109.findXAt,gpt-3-5/100109.py,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,3.0,3.0,0.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.0,,,,,,100109.py,100109.findXAt:::100109.py
Function,100133.copy_files,gpt-3-5/100133.py,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,15.0,8.0,14.0,0.0,13.0,1.0,15.0,8.0,14.0,7.0,7.0,7.0,7.0,1.0,,,,,,,4.0,0.0,,,,,,100133.py,100133.copy_files:::100133.py
Function,100143.create_lxc_with_overlays,gpt-3-5/100143.py,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.5,,,,,,100143.py,100143.create_lxc_with_overlays:::100143.py
Function,100186._pdf_find_urls,gpt-3-5/100186.py,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,7.0,5.0,6.0,1.0,2.0,0.0,7.0,5.0,6.0,2.0,2.0,2.0,2.0,1.0,,,,,,,1.0,0.14,,,,,,100186.py,100186._pdf_find_urls:::100186.py
Function,100187.find_urls,gpt-3-5/100187.py,,,,,,,,,,,,,,,,,,,,,,31.0,9.0,15.0,2.0,14.0,7.0,32.0,2.0,15.0,2.0,14.0,6.0,6.0,6.0,6.0,1.0,,,,,,,1.0,0.47,,,,,,100187.py,100187.find_urls:::100187.py
