Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,BaseFile,composite_key
Function,100002.countLines,gpt-oss/100002.py,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,9.0,4.0,8.0,2.0,3.0,0.0,9.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,0.22,,,,,,100002.py,100002.countLines:::100002.py
Function,100043.do_less_expensive_things,gpt-oss/100043.py,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,8.0,5.0,7.0,11.0,1.0,0.0,8.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.38,,,,,,100043.py,100043.do_less_expensive_things:::100043.py
Function,100050.connected_components,gpt-oss/100050.py,,,,,,,,,,,,,,,,,,,,,,54.0,8.0,21.0,7.0,20.0,25.0,24.0,1.0,18.0,7.0,17.0,6.0,6.0,6.0,6.0,3.0,,,,,,,1.0,1.19,,,,,,100050.py,100050.connected_components:::100050.py
Function,100051.watershed_with_seeds,gpt-oss/100051.py,,,,,,,,,,,,,,,,,,,,,,27.0,1.0,10.0,4.0,9.0,16.0,2.0,0.0,9.0,4.0,8.0,2.0,2.0,2.0,2.0,1.0,,,,,,,1.0,1.6,,,,,,100051.py,100051.watershed_with_seeds:::100051.py
Function,100054.task2ics,gpt-oss/100054.py,,,,,,,,,,,,,,,,,,,,,,66.0,7.0,50.0,13.0,49.0,9.0,13.0,1.0,39.0,12.0,38.0,9.0,9.0,9.0,9.0,3.0,,,,,,,3.0,0.18,,,,,,100054.py,100054.task2ics:::100054.py
Function,100109.findXAt,gpt-oss/100109.py,,,,,,,,,,,,,,,,,,,,,,79.0,12.0,34.0,13.0,33.0,33.0,97.0,2.0,32.0,13.0,31.0,12.0,12.0,12.0,12.0,3.0,,,,,,,3.0,0.97,,,,,,100109.py,100109.findXAt:::100109.py
Function,100133.copy_files,gpt-oss/100133.py,,,,,,,,,,,,,,,,,,,,,,32.0,6.0,15.0,6.0,14.0,11.0,14.0,1.0,14.0,6.0,13.0,6.0,6.0,7.0,7.0,4.0,,,,,,,2.0,0.73,,,,,,100133.py,100133.copy_files:::100133.py
Function,100143.create_lxc_with_overlays,gpt-oss/100143.py,,,,,,,,,,,,,,,,,,,,,,96.0,15.0,54.0,11.0,52.0,27.0,21760.0,4.0,45.0,9.0,44.0,18.0,18.0,21.0,21.0,14.0,,,,,,,4.0,0.5,,,,,,100143.py,100143.create_lxc_with_overlays:::100143.py
Function,100186._pdf_find_urls,gpt-oss/100186.py,,,,,,,,,,,,,,,,,,,,,,42.0,6.0,18.0,4.0,17.0,20.0,3.0,0.0,10.0,4.0,9.0,3.0,3.0,3.0,3.0,1.0,,,,,,,1.0,1.11,,,,,,100186.py,100186._pdf_find_urls:::100186.py
Function,100187.find_urls,gpt-oss/100187.py,,,,,,,,,,,,,,,,,,,,,,75.0,11.0,40.0,9.0,39.0,26.0,225.0,2.0,30.0,9.0,29.0,11.0,11.0,12.0,12.0,5.0,,,,,,,3.0,0.65,,,,,,100187.py,100187.find_urls:::100187.py
Function,100204.containing_bins,gpt-oss/100204.py,,,,,,,,,,,,,,,,,,,,,,43.0,8.0,17.0,8.0,16.0,19.0,24.0,1.0,17.0,8.0,16.0,6.0,6.0,7.0,7.0,3.0,,,,,,,2.0,1.12,,,,,,100204.py,100204.containing_bins:::100204.py
Function,100207.stitchModules,gpt-oss/100207.py,,,,,,,,,,,,,,,,,,,,,,21.0,5.0,4.0,2.0,3.0,12.0,3.0,0.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,,2.0,3.0,,,,,,100207.py,100207.stitchModules:::100207.py
Function,100298.get_user_root_directory,gpt-oss/100298.py,,,,,,,,,,,,,,,,,,,,,,34.0,4.0,16.0,4.0,15.0,14.0,8.0,1.0,14.0,4.0,13.0,5.0,5.0,6.0,6.0,1.0,,,,,,,2.0,0.88,,,,,,100298.py,100298.get_user_root_directory:::100298.py
Function,100320.hcenter_blit,gpt-oss/100320.py,,,,,,,,,,,,,,,,,,,,,,42.0,5.0,9.0,6.0,8.0,28.0,2.0,0.0,9.0,6.0,8.0,2.0,2.0,3.0,3.0,1.0,,,,,,,1.0,3.11,,,,,,100320.py,100320.hcenter_blit:::100320.py
Function,100341.get_open_port,gpt-oss/100341.py,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,5.0,3.0,4.0,4.0,1.0,0.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.8,,,,,,100341.py,100341.get_open_port:::100341.py
Function,100364.energy,gpt-oss/100364.py,,,,,,,,,,,,,,,,,,,,,,46.0,6.0,20.0,9.0,19.0,20.0,12.0,1.0,18.0,9.0,17.0,6.0,6.0,8.0,8.0,3.0,,,,,,,3.0,1.0,,,,,,100364.py,100364.energy:::100364.py
Function,100366.accel_fl,gpt-oss/100366.py,,,,,,,,,,,,,,,,,,,,,,42.0,5.0,16.0,6.0,15.0,22.0,5.0,1.0,16.0,6.0,15.0,5.0,5.0,7.0,7.0,5.0,,,,,,,2.0,1.38,,,,,,100366.py,100366.accel_fl:::100366.py
Function,10043.decompile,gpt-oss/10043.py,,,,,,,,,,,,,,,,,,,,,,33.0,5.0,12.0,5.0,11.0,16.0,3.0,0.0,8.0,5.0,7.0,3.0,3.0,5.0,5.0,3.0,,,,,,,2.0,1.33,,,,,,10043.py,10043.decompile:::10043.py
Function,100447.run_and_exit,gpt-oss/100447.py,,,,,,,,,,,,,,,,,,,,,,32.0,3.0,15.0,3.0,14.0,14.0,6.0,1.0,11.0,3.0,10.0,4.0,4.0,5.0,5.0,3.0,,,,,,,1.0,0.93,,,,,,100447.py,100447.run_and_exit:::100447.py
