Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,BaseFile,composite_key
Function,100002.countLines,human/100002.py,,,,,,,,,,,,,,,,,,,,,,19.0,0.0,14.0,5.0,13.0,6.0,3.0,0.0,13.0,5.0,12.0,3.0,3.0,3.0,3.0,1.0,,,,,,,2.0,0.43,,,,,,100002.py,100002.countLines:::100002.py
Function,100043.do_less_expensive_things,human/100043.py,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,5.0,3.0,4.0,7.0,1.0,0.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.4,,,,,,100043.py,100043.do_less_expensive_things:::100043.py
Function,100050.connected_components,human/100050.py,,,,,,,,,,,,,,,,,,,,,,35.0,4.0,13.0,3.0,12.0,18.0,6.0,1.0,11.0,3.0,10.0,4.0,4.0,4.0,4.0,1.0,,,,,,,2.0,1.38,,,,,,100050.py,100050.connected_components:::100050.py
Function,100051.watershed_with_seeds,human/100051.py,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,4.0,3.0,3.0,8.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,2.0,,,,,,100051.py,100051.watershed_with_seeds:::100051.py
Function,100054.task2ics,human/100054.py,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,10.0,6.0,7.0,1.0,1.0,0.0,9.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.1,,,,,,100054.py,100054.task2ics:::100054.py
Function,100109.findXAt,human/100109.py,,,,,,,,,,,,,,,,,,,,,,19.0,2.0,11.0,3.0,10.0,6.0,4.0,1.0,11.0,3.0,10.0,3.0,3.0,3.0,3.0,1.0,,,,,,,1.0,0.55,,,,,,100109.py,100109.findXAt:::100109.py
Function,100133.copy_files,human/100133.py,,,,,,,,,,,,,,,,,,,,,,25.0,4.0,17.0,3.0,14.0,4.0,4.0,1.0,8.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,0.24,,,,,,100133.py,100133.copy_files:::100133.py
Function,100143.create_lxc_with_overlays,human/100143.py,,,,,,,,,,,,,,,,,,,,,,29.0,4.0,16.0,8.0,14.0,9.0,4.0,1.0,13.0,7.0,12.0,3.0,3.0,4.0,4.0,1.0,,,,,,,1.0,0.56,,,,,,100143.py,100143.create_lxc_with_overlays:::100143.py
Function,100186._pdf_find_urls,human/100186.py,,,,,,,,,,,,,,,,,,,,,,31.0,7.0,16.0,7.0,15.0,8.0,5.0,1.0,16.0,7.0,15.0,4.0,4.0,4.0,4.0,1.0,,,,,,,1.0,0.5,,,,,,100186.py,100186._pdf_find_urls:::100186.py
Function,100187.find_urls,human/100187.py,,,,,,,,,,,,,,,,,,,,,,187.0,28.0,129.0,10.0,128.0,30.0,37013780.0,8.0,122.0,10.0,121.0,60.0,60.0,63.0,63.0,7.0,,,,,,,5.0,0.23,,,,,,100187.py,100187.find_urls:::100187.py
Function,100204.containing_bins,human/100204.py,,,,,,,,,,,,,,,,,,,,,,24.0,4.0,5.0,3.0,4.0,15.0,2.0,0.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,,,,,,,1.0,3.0,,,,,,100204.py,100204.containing_bins:::100204.py
Function,100207.stitchModules,human/100207.py,,,,,,,,,,,,,,,,,,,,,,24.0,6.0,4.0,2.0,3.0,14.0,3.0,0.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,,,,,,,2.0,3.5,,,,,,100207.py,100207.stitchModules:::100207.py
Function,100298.get_user_root_directory,human/100298.py,,,,,,,,,,,,,,,,,,,,,,27.0,2.0,18.0,3.0,17.0,7.0,5.0,1.0,14.0,3.0,13.0,5.0,5.0,5.0,5.0,1.0,,,,,,,2.0,0.39,,,,,,100298.py,100298.get_user_root_directory:::100298.py
Function,100320.hcenter_blit,human/100320.py,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,4.0,2.0,3.0,3.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.75,,,,,,100320.py,100320.hcenter_blit:::100320.py
Function,100341.get_open_port,human/100341.py,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,8.0,3.0,7.0,2.0,1.0,0.0,8.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.25,,,,,,100341.py,100341.get_open_port:::100341.py
Function,100364.energy,human/100364.py,,,,,,,,,,,,,,,,,,,,,,37.0,8.0,19.0,15.0,18.0,10.0,6.0,1.0,19.0,15.0,18.0,4.0,4.0,4.0,4.0,1.0,,,,,,,2.0,0.53,,,,,,100364.py,100364.energy:::100364.py
Function,100366.accel_fl,human/100366.py,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,8.0,6.0,7.0,5.0,2.0,0.0,8.0,6.0,7.0,2.0,2.0,2.0,2.0,1.0,,,,,,,1.0,0.63,,,,,,100366.py,100366.accel_fl:::100366.py
Function,10043.decompile,human/10043.py,,,,,,,,,,,,,,,,,,,,,,46.0,4.0,31.0,9.0,30.0,11.0,2.0,0.0,14.0,9.0,13.0,2.0,2.0,5.0,5.0,1.0,,,,,,,1.0,0.35,,,,,,10043.py,10043.decompile:::10043.py
Function,100447.run_and_exit,human/100447.py,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,7.0,2.0,6.0,1.0,2.0,0.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,,,,,,,1.0,0.14,,,,,,100447.py,100447.run_and_exit:::100447.py
