Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Class,"1.WebhookSecurityModule",claude-3-haiku/1.py,7,0,6,1,1,1,1,1,1,0,2,0,0,,,,,2,3,2,2,17,2,12,7,9,3,,,8,7,5,,,,,,1,1,1,1,1,0,0,0.25,2,2,2,2,2
Function,"1.WebhookSecurityModule.__init__",claude-3-haiku/1.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"1.WebhookSecurityModule.scan",claude-3-haiku/1.py,,,,,,,,,,,,,,,,,,,,,,9,0,7,2,6,2,1,0,3,2,2,1,1,1,1,1,,,,,,,0,0.29,,,,,
Module File,"1.py",claude-3-haiku/1.py,7,0,6,1,1,1,1,1,1,,,,,1,2,,2,,,,,19,3,13,8,9,3,0,0,9,8,5,0,0,0,0,0,1,1,1,1,1,,0,0.23,2,2,2,2,2
Class,"10.Ansi",claude-3-haiku/10.py,3,0,3,0,1,1,1,1,1,0,1,0,0,,,,,4,1,4,4,16,3,13,6,8,0,,,12,6,7,,,,,,2,2,2,2,1,0,1,0.00,5,5,5,5,4
Function,"10.Ansi.__enter__",claude-3-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"10.Ansi.__exit__",claude-3-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"10.Ansi.__getattr__",claude-3-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,4,1,3,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"10.Ansi.__init__",claude-3-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,1,0,1,0,2,2,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"10.py",claude-3-haiku/10.py,3,0,3,0,1,1,1,1,1,,,,,1,4,,4,,,,,16,3,13,6,8,0,0,0,12,6,7,0,0,0,0,0,2,2,2,2,1,,1,0.00,5,5,5,5,4
Class,"100.Resampler",claude-3-haiku/100.py,7,0,7,0,2,2,3,3,2,0,5,0,0,,,,,3,3,4,4,40,5,30,12,23,5,,,21,11,16,,,,,,4,4,6,6,4,0,2,0.17,9,9,11,11,7
Function,"100.Resampler.__init__",claude-3-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"100.Resampler._validate_timeframe",claude-3-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,11,0,11,4,10,0,6,1,11,4,10,4,4,6,6,4,,,,,,,2,0.00,,,,,
Function,"100.Resampler.get_bar_time",claude-3-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,11,0,11,3,10,0,1,0,4,3,3,3,3,3,3,1,,,,,,,0,0.00,,,,,
Function,"100.Resampler.get_resampler",claude-3-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"100.py",claude-3-haiku/100.py,7,0,7,0,2,2,3,3,2,,,,,1,4,,4,,,,,43,6,32,14,23,5,0,0,23,13,16,0,0,0,0,0,4,4,6,6,4,,2,0.16,9,9,11,11,7
Class,"101.GithubClient",claude-3-haiku/101.py,4,0,4,0,2,2,2,2,1,0,1,0,0,,,,,4,3,4,4,23,4,18,9,12,1,,,17,8,12,,,,,,2,2,2,2,1,0,1,0.06,6,6,6,6,4
Function,"101.GithubClient.__init__",claude-3-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"101.GithubClient.client-getter",claude-3-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"101.GithubClient.get_organization",claude-3-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,5,1,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"101.GithubClient.get_repo_by_full_name",claude-3-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,5,1,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Module File,"101.py",claude-3-haiku/101.py,4,0,4,0,2,2,2,2,1,,,,,1,4,,4,,,,,27,6,20,11,12,1,0,0,19,10,12,0,0,0,0,0,2,2,2,2,1,,1,0.05,6,6,6,6,4
Class,"102.A2ACardResolver",claude-3-haiku/102.py,8,1,8,0,1,1,1,1,1,0,1,1,0,,,,,2,2,2,2,18,2,16,8,13,0,,,10,8,7,,,,,,1,1,1,1,1,0,0,0.00,2,2,2,2,2
Function,"102.A2ACardResolver.__init__",claude-3-haiku/102.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"102.A2ACardResolver.get_agent_card",claude-3-haiku/102.py,,,,,,,,,,,,,,,,,,,,,,13,1,12,4,11,0,1,0,6,4,5,1,1,1,1,1,,,,,,,0,0.00,,,,,
Class,"102.AgentCard",claude-3-haiku/102.py,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,6,0,6,1,5,0,,,6,1,5,,,,,,0,0,0,0,0,0,0,0.00,0,0,0,0,0
