Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Class,"1.WebhookSecurityModule",claude-4-5-haiku/1.py,39,6,30,4,3,3,4,4,1,0,2,0,0,,,,,2,5,2,2,82,13,61,16,58,8,,,28,16,25,,,,,,5,5,6,6,1,0,2,0.13,6,6,7,7,2
Function,"1.WebhookSecurityModule.__init__",claude-4-5-haiku/1.py,,,,,,,,,,,,,,,,,,,,,,6,0,6,6,5,0,1,0,6,6,5,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"1.WebhookSecurityModule.scan",claude-4-5-haiku/1.py,,,,,,,,,,,,,,,,,,,,,,72,11,54,9,53,7,12,1,21,9,20,5,5,6,6,1,,,,,,,2,0.13,,,,,
Module File,"1.py",claude-4-5-haiku/1.py,39,6,30,4,3,3,4,4,1,,,,,1,2,,2,,,,,90,15,67,22,58,8,0,0,34,22,25,0,0,0,0,0,5,5,6,6,1,,2,0.12,6,6,7,7,2
Class,"10.Ansi",claude-4-5-haiku/10.py,3,0,3,0,1,1,1,1,1,0,2,0,0,,,,,3,1,3,3,12,3,9,5,5,0,,,9,5,5,,,,,,2,2,2,2,1,0,1,0.00,4,4,4,4,3
Function,"10.Ansi.__call__",claude-4-5-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"10.Ansi.__getattr__",claude-4-5-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,1,3,0,2,0,4,1,3,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"10.Ansi.__init__",claude-4-5-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,1,0,1,0,2,2,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"10.py",claude-4-5-haiku/10.py,3,0,3,0,1,1,1,1,1,,,,,1,3,,3,,,,,12,3,9,5,5,0,0,0,9,5,5,0,0,0,0,0,2,2,2,2,1,,1,0.00,4,4,4,4,3
Class,"100.Resampler",claude-4-5-haiku/100.py,14,2,12,0,3,3,3,3,3,0,6,0,0,,,,,4,4,5,5,92,15,72,31,64,5,,,59,30,53,,,,,,6,6,6,6,6,0,1,0.07,15,15,15,15,14
Function,"100.Resampler.__init__",claude-4-5-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,2,3,0,1,0,4,2,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"100.Resampler._parse_timeframe",claude-4-5-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,8,0,8,5,7,0,2,0,7,5,6,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"100.Resampler._validate_timeframe",claude-4-5-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,14,3,11,3,10,0,16,1,11,3,10,5,5,5,5,5,,,,,,,1,0.00,,,,,
Function,"100.Resampler.get_bar_time",claude-4-5-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,40,5,35,16,34,0,16,1,32,16,31,6,6,6,6,6,,,,,,,1,0.00,,,,,
Function,"100.Resampler.get_resampler",claude-4-5-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"100.py",claude-4-5-haiku/100.py,14,2,12,0,3,3,3,3,3,,,,,1,5,,5,,,,,96,16,75,34,64,5,0,0,62,33,53,0,0,0,0,0,6,6,6,6,6,,1,0.07,15,15,15,15,14
Class,"101.GithubClient",claude-4-5-haiku/101.py,5,0,5,0,2,2,2,2,1,0,1,0,0,,,,,4,3,4,4,28,4,23,9,17,1,,,21,8,16,,,,,,3,3,3,3,1,0,2,0.04,8,8,8,8,4
Function,"101.GithubClient.__init__",claude-4-5-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"101.GithubClient.client-getter",claude-4-5-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,7,0,7,1,6,0,3,0,6,1,5,3,3,3,3,1,,,,,,,2,0.00,,,,,
Function,"101.GithubClient.get_organization",claude-4-5-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,5,1,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"101.GithubClient.get_repo_by_full_name",claude-4-5-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,5,1,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Module File,"101.py",claude-4-5-haiku/101.py,5,0,5,0,2,2,2,2,1,,,,,1,4,,4,,,,,28,4,23,9,17,1,0,0,21,8,16,0,0,0,0,0,3,3,3,3,1,,2,0.04,8,8,8,8,4
Class,"102.A2ACardResolver",claude-4-5-haiku/102.py,7,1,6,0,1,1,1,1,1,0,0,0,0,,,,,2,2,2,2,16,4,12,10,7,0,,,12,10,7,,,,,,1,1,1,1,1,0,0,0.00,2,2,2,2,2
Function,"102.A2ACardResolver.__init__",claude-4-5-haiku/102.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"102.A2ACardResolver.get_agent_card",claude-4-5-haiku/102.py,,,,,,,,,,,,,,,,,,,,,,10,2,8,6,5,0,1,0,8,6,5,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"102.py",claude-4-5-haiku/102.py,7,1,6,0,1,1,1,1,1,,,,,1,2,,2,,,,,16,4,12,10,7,0,0,0,12,10,7,0,0,0,0,0,1,1,1,1,1,,0,0.00,2,2,2,2,2
Class,"103._LogConfig",claude-4-5-haiku/103.py,17,3,9,5,4,4,5,5,2,0,4,1,0,,,,,3,2,3,3,57,12,28,10,24,17,,,27,10,23,,,,,,6,6,7,7,3,0,4,0.61,12,12,14,14,7
Function,"103._LogConfig.__init__",claude-4-5-haiku/103.py,,,,,,,,,,,,,,,,,,,,,,15,3,7,3,6,5,4,1,7,3,6,3,3,3,3,1,,,,,,,1,0.71,,,,,
Function,"103._LogConfig._parse_config",claude-4-5-haiku/103.py,,,,,,,,,,,,,,,,,,,,,,23,3,15,4,14,5,9,1,14,4,13,6,6,7,7,3,,,,,,,4,0.33,,,,,
Function,"103._LogConfig.get_level_for_name",claude-4-5-haiku/103.py,,,,,,,,,,,,,,,,,,,,,,14,3,5,2,4,6,3,0,5,2,4,3,3,4,4,3,,,,,,,2,1.20,,,,,
Class,"103._LogRule",claude-4-5-haiku/103.py,5,0,5,0,2,2,2,2,1,0,0,0,0,,,,,1,0,1,1,11,1,9,3,7,1,,,9,3,7,,,,,,2,2,2,2,1,0,1,0.11,2,2,2,2,1
Function,"103._LogRule.__post_init__",claude-4-5-haiku/103.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,5,1,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Module File,"103.py",claude-4-5-haiku/103.py,14,2,8,4,4,4,4,4,2,,,,,2,4,,4,,,,,77,17,42,18,31,18,0,0,40,17,30,0,0,0,0,0,6,6,7,7,3,,4,0.43,14,14,16,16,8
Class,"104.FletXWidgetRegistry",claude-4-5-haiku/104.py,5,0,4,1,2,2,2,2,1,0,0,0,0,,,,,0,0,2,2,22,3,12,8,7,7,,,10,6,7,,,,,,3,3,3,3,1,0,2,0.58,4,4,4,4,2
Function,"104.FletXWidgetRegistry.register",claude-4-5-haiku/104.py,,,,,,,,,,,,,,,,,,,,,,5,0,4,2,3,1,1,0,4,2,3,1,1,1,1,1,,,,,,,0,0.25,,,,,
Function,"104.FletXWidgetRegistry.register_all",claude-4-5-haiku/104.py,,,,,,,,,,,,,,,,,,,,,,5,0,4,2,3,1,3,0,4,2,3,3,3,3,3,1,,,,,,,2,0.25,,,,,
Module File,"104.py",claude-4-5-haiku/104.py,5,0,4,1,2,2,2,2,1,,,,,1,2,,2,,,,,22,3,12,8,7,7,0,0,10,6,7,0,0,0,0,0,3,3,3,3,1,,2,0.58,4,4,4,4,2
Class,"105.ContainerProc",claude-4-5-haiku/105.py,11,1,10,0,4,4,4,4,2,0,9,0,0,,,,,5,4,5,5,62,10,52,16,46,0,,,51,15,45,,,,,,9,9,9,9,6,0,4,0.00,18,18,18,18,12
Function,"105.ContainerProc.__init__",claude-4-5-haiku/105.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,5,4,0,1,0,5,5,4,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"105.ContainerProc.close_stdin",claude-4-5-haiku/105.py,,,,,,,,,,,,,,,,,,,,,,7,0,7,1,6,0,3,0,7,1,6,3,3,3,3,1,,,,,,,2,0.00,,,,,
Function,"105.ContainerProc.is_running",claude-4-5-haiku/105.py,,,,,,,,,,,,,,,,,,,,,,6,0,6,2,5,0,2,0,6,2,5,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"105.ContainerProc.read_output",claude-4-5-haiku/105.py,,,,,,,,,,,,,,,,,,,,,,31,5,26,5,25,0,22,1,25,5,24,9,9,9,9,6,,,,,,,4,0.00,,,,,
Function,"105.ContainerProc.write_stdin",claude-4-5-haiku/105.py,,,,,,,,,,,,,,,,,,,,,,7,0,7,2,6,0,4,1,7,1,6,3,3,3,3,3,,,,,,,1,0.00,,,,,
Module File,"105.py",claude-4-5-haiku/105.py,11,1,10,0,4,4,4,4,2,,,,,1,5,,5,,,,,66,11,55,19,46,0,0,0,54,18,45,0,0,0,0,0,9,9,9,9,6,,4,0.00,18,18,18,18,12
Class,"106.Repo",claude-4-5-haiku/106.py,8,1,7,0,3,3,3,3,2,0,0,0,0,,,,,2,2,2,2,18,3,15,9,10,0,,,15,8,10,,,,,,3,3,3,3,3,0,3,0.00,5,5,5,5,4
Function,"106.Repo.__init__",claude-4-5-haiku/106.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,2,0,1,0,3,3,2,2,2,2,2,1,,,,,,,0,0.00,,,,,
Function,"106.Repo._load_meta",claude-4-5-haiku/106.py,,,,,,,,,,,,,,,,,,,,,,12,1,11,5,8,0,3,0,11,4,8,3,3,3,3,3,,,,,,,3,0.00,,,,,
Module File,"106.py",claude-4-5-haiku/106.py,8,1,7,0,3,3,3,3,2,,,,,1,2,,2,,,,,18,3,15,9,10,0,0,0,15,8,10,0,0,0,0,0,3,3,3,3,3,,3,0.00,5,5,5,5,4
Class,"107.ProbeResult",claude-4-5-haiku/107.py,10,0,10,0,1,1,1,1,1,0,0,0,0,,,,,1,9,1,1,12,1,11,11,9,0,,,11,11,9,,,,,,1,1,1,1,1,0,0,0.00,1,1,1,1,1
Function,"107.ProbeResult.__init__",claude-4-5-haiku/107.py,,,,,,,,,,,,,,,,,,,,,,10,0,10,10,9,0,1,0,10,10,9,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"107.py",claude-4-5-haiku/107.py,10,0,10,0,1,1,1,1,1,,,,,1,1,,1,,,,,12,1,11,11,9,0,0,0,11,11,9,0,0,0,0,0,1,1,1,1,1,,0,0.00,1,1,1,1,1
Class,"108.EnhancedAudioDetector",claude-4-5-haiku/108.py,15,2,13,0,4,4,5,5,3,0,6,0,0,,,,,11,1,11,11,181,28,144,44,132,9,,,102,44,90,,,,,,13,13,18,18,12,0,3,0.06,47,47,55,55,33
Function,"108.EnhancedAudioDetector.__init__",claude-4-5-haiku/108.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,1,0,1,0,2,2,1,1,1,2,2,1,,,,,,,0,0.00,,,,,
Function,"108.EnhancedAudioDetector._calculate_audio_quality_score",claude-4-5-haiku/108.py,,,,,,,,,,,,,,,,,,,,,,40,5,31,5,30,4,200,2,23,5,22,13,13,18,18,1,,,,,,,2,0.13,,,,,
Function,"108.EnhancedAudioDetector._detect_atmos",claude-4-5-haiku/108.py,,,,,,,,,,,,,,,,,,,,,,9,2,7,6,6,0,1,0,7,6,6,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"108.EnhancedAudioDetector._detect_audio_format",claude-4-5-haiku/108.py,,,,,,,,,,,,,,,,,,,,,,30,2,28,4,27,0,12,1,17,4,16,12,12,12,12,12,,,,,,,1,0.00,,,,,
