Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Class,"1.WebhookSecurityModule",gpt-3-5/1.py,6,0,6,1,1,1,1,1,1,0,2,0,0,,,,,2,3,2,2,16,2,12,7,9,2,,,8,7,5,,,,,,1,1,1,1,1,0,0,0.17,2,2,2,2,2
Function,"1.WebhookSecurityModule.__init__",gpt-3-5/1.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"1.WebhookSecurityModule.scan",gpt-3-5/1.py,,,,,,,,,,,,,,,,,,,,,,8,0,7,2,6,1,1,0,3,2,2,1,1,1,1,1,,,,,,,0,0.14,,,,,
Module File,"1.py",gpt-3-5/1.py,6,0,6,1,1,1,1,1,1,,,,,1,2,,2,,,,,18,3,13,8,9,2,0,0,9,8,5,0,0,0,0,0,1,1,1,1,1,,0,0.15,2,2,2,2,2
Class,"10.Ansi",gpt-3-5/10.py,2,0,2,0,1,1,1,1,1,0,0,0,0,,,,,2,1,2,2,7,2,5,4,2,0,,,5,4,2,,,,,,1,1,1,1,1,0,0,0.00,2,2,2,2,2
Function,"10.Ansi.__init__",gpt-3-5/10.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,1,0,1,0,2,2,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"10.Ansi.apply",gpt-3-5/10.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"10.py",gpt-3-5/10.py,2,0,2,0,1,1,1,1,1,,,,,1,2,,2,,,,,7,2,5,4,2,0,0,0,5,4,2,0,0,0,0,0,1,1,1,1,1,,0,0.00,2,2,2,2,2
Class,"100.Resampler",gpt-3-5/100.py,6,0,6,0,3,3,3,3,3,0,3,0,0,,,,,3,1,4,4,37,5,27,8,20,5,,,19,7,14,,,,,,8,8,8,8,8,0,1,0.19,12,12,12,12,11
Function,"100.Resampler.__init__",gpt-3-5/100.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"100.Resampler._validate_timeframe",gpt-3-5/100.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,2,3,0,2,0,4,2,3,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"100.Resampler.get_bar_time",gpt-3-5/100.py,,,,,,,,,,,,,,,,,,,,,,15,0,15,1,14,0,8,1,9,1,8,8,8,8,8,8,,,,,,,1,0.00,,,,,
