Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Class,"1.WebhookSecurityModule",gpt-oss/1.py,22,2,16,5,3,3,3,3,1,0,4,0,0,,,,,4,3,4,4,95,11,63,13,58,21,,,46,12,41,,,,,,6,6,6,6,1,0,2,0.33,10,10,11,11,4
Function,"1.WebhookSecurityModule.__init__",gpt-oss/1.py,,,,,,,,,,,,,,,,,,,,,,11,1,4,4,3,6,1,0,4,4,3,1,1,2,2,1,,,,,,,0,1.50,,,,,
Function,"1.WebhookSecurityModule._log",gpt-oss/1.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,1,2,0,2,0,3,1,2,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"1.WebhookSecurityModule._request",gpt-oss/1.py,,,,,,,,,,,,,,,,,,,,,,6,0,3,1,2,3,1,0,3,1,2,1,1,1,1,1,,,,,,,0,1.00,,,,,
Function,"1.WebhookSecurityModule.scan",gpt-oss/1.py,,,,,,,,,,,,,,,,,,,,,,69,6,52,6,51,11,18,1,35,5,34,6,6,6,6,1,,,,,,,2,0.21,,,,,
Module File,"1.py",gpt-oss/1.py,22,2,16,5,3,3,3,3,1,,,,,1,4,,4,,,,,100,13,66,16,58,21,0,0,49,15,41,0,0,0,0,0,6,6,6,6,1,,2,0.32,10,10,11,11,4
Class,"10.Ansi",gpt-oss/10.py,4,0,3,1,1,1,1,1,1,0,2,0,0,,,,,7,1,7,7,43,9,23,10,15,11,,,22,10,14,,,,,,2,2,2,2,1,0,1,0.48,10,10,10,10,7
Function,"10.Ansi.__add__",gpt-oss/10.py,,,,,,,,,,,,,,,,,,,,,,5,0,4,1,3,1,2,0,4,1,3,2,2,2,2,1,,,,,,,1,0.25,,,,,
Function,"10.Ansi.__call__",gpt-oss/10.py,,,,,,,,,,,,,,,,,,,,,,3,0,2,1,1,1,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.50,,,,,
Function,"10.Ansi.__init__",gpt-oss/10.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,2,4,0,2,0,4,2,3,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"10.Ansi.__radd__",gpt-oss/10.py,,,,,,,,,,,,,,,,,,,,,,5,0,4,1,3,1,2,0,4,1,3,2,2,2,2,1,,,,,,,1,0.25,,,,,
Function,"10.Ansi.__repr__",gpt-oss/10.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"10.Ansi.__str__",gpt-oss/10.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"10.Ansi.apply",gpt-oss/10.py,,,,,,,,,,,,,,,,,,,,,,3,0,2,1,1,1,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.50,,,,,
Module File,"10.py",gpt-oss/10.py,4,0,3,1,1,1,1,1,1,,,,,1,7,,7,,,,,43,9,23,10,15,11,0,0,22,10,14,0,0,0,0,0,2,2,2,2,1,,1,0.48,10,10,10,10,7
Class,"100.Resampler",gpt-oss/100.py,12,0,10,1,3,3,3,3,2,0,5,0,0,,,,,4,3,5,5,76,9,56,17,48,12,,,37,16,31,,,,,,8,8,8,8,8,0,1,0.21,14,14,14,14,12
Function,"100.Resampler.__init__",gpt-oss/100.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,3,3,0,1,0,4,3,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"100.Resampler._parse_timeframe",gpt-oss/100.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,2,4,0,2,0,5,2,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"100.Resampler._validate_timeframe",gpt-oss/100.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,1,2,0,2,0,3,1,2,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"100.Resampler.get_bar_time",gpt-oss/100.py,,,,,,,,,,,,,,,,,,,,,,46,2,38,7,37,7,8,1,21,7,20,8,8,8,8,8,,,,,,,1,0.18,,,,,
Function,"100.Resampler.get_resampler",gpt-oss/100.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"100.py",gpt-oss/100.py,12,0,10,1,3,3,3,3,2,,,,,1,5,,5,,,,,82,11,60,21,48,12,0,0,41,20,31,0,0,0,0,0,8,8,8,8,8,,1,0.20,14,14,14,14,12
Class,"101.Consts",gpt-oss/101.py,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,0,2,2,1,1,,,2,2,1,,,,,,0,0,0,0,0,0,0,0.50,0,0,0,0,0
Class,"101.GithubClient",gpt-oss/101.py,5,0,5,0,2,2,2,2,1,0,1,0,0,,,,,4,3,4,4,25,4,20,9,14,1,,,19,8,14,,,,,,2,2,2,2,1,0,1,0.05,7,7,7,7,4
Function,"101.GithubClient.__init__",gpt-oss/101.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"101.GithubClient.client-getter",gpt-oss/101.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,1,3,0,2,0,4,1,3,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"101.GithubClient.get_organization",gpt-oss/101.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,5,1,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"101.GithubClient.get_repo_by_full_name",gpt-oss/101.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,5,1,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Module File,"101.py",gpt-oss/101.py,4,0,5,0,2,2,2,2,1,,,,,2,5,,4,,,,,39,9,28,15,17,4,2,0,27,14,17,2,2,2,2,1,2,2,2,2,1,,1,0.14,9,9,9,9,5
Class,"102.A2ACardResolver",gpt-oss/102.py,12,1,8,2,2,2,2,2,2,0,6,1,0,,,,,3,3,3,3,49,8,25,12,21,16,,,25,11,21,,,,,,4,4,4,4,4,0,1,0.64,7,7,7,7,6
Function,"102.A2ACardResolver.__init__",gpt-oss/102.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"102.A2ACardResolver._fetch_agent_card",gpt-oss/102.py,,,,,,,,,,,,,,,,,,,,,,18,3,15,5,14,0,8,1,15,4,14,4,4,4,4,4,,,,,,,1,0.00,,,,,
Function,"102.A2ACardResolver.get_agent_card",gpt-oss/102.py,,,,,,,,,,,,,,,,,,,,,,13,1,5,2,4,7,2,0,5,2,4,2,2,2,2,1,,,,,,,1,1.40,,,,,
Class,"102.AgentCard",gpt-oss/102.py,2,0,2,0,1,1,1,1,1,0,1,0,0,,,,,2,0,2,2,11,2,6,3,3,3,,,6,3,3,,,,,,1,1,1,1,1,0,0,0.50,2,2,2,2,2
Function,"102.AgentCard.__getitem__",gpt-oss/102.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"102.AgentCard.get",gpt-oss/102.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"102.py",gpt-oss/102.py,7,1,6,1,2,2,2,2,2,,,,,2,6,,5,,,,,74,16,39,23,25,19,1,0,38,21,25,1,1,1,1,1,4,4,4,4,4,,1,0.49,10,10,10,10,9
Class,"103._LogConfig",gpt-oss/103.py,9,0,7,2,3,3,3,3,2,0,2,0,0,,,,,5,2,6,6,67,9,48,20,39,10,,,45,18,38,,,,,,6,6,6,6,5,0,2,0.21,18,18,18,18,14
