Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Class,"1.WebhookSecurityModule",human/1.py,6,0,5,1,1,1,1,1,1,0,2,0,0,,,,,2,3,2,2,15,2,11,6,8,2,,,7,6,4,,,,,,1,1,1,1,1,0,0,0.18,2,2,2,2,2
Function,"1.WebhookSecurityModule.__init__",human/1.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"1.WebhookSecurityModule.scan",human/1.py,,,,,,,,,,,,,,,,,,,,,,7,0,6,1,5,1,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.17,,,,,
Module File,"1.py",human/1.py,6,0,5,1,1,1,1,1,1,,,,,1,2,,2,,,,,17,3,12,7,8,2,0,0,8,7,4,0,0,0,0,0,1,1,1,1,1,,0,0.17,2,2,2,2,2
Class,"10.Ansi",human/10.py,4,0,4,0,2,2,2,2,1,0,0,0,0,,,,,1,1,1,1,5,0,5,4,3,0,,,5,4,3,,,,,,2,2,2,2,1,0,1,0.00,2,2,2,2,1
Function,"10.Ansi.__init__",human/10.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,3,3,0,2,0,4,3,3,2,2,2,2,1,,,,,,,1,0.00,,,,,
Module File,"10.py",human/10.py,4,0,4,0,2,2,2,2,1,,,,,1,1,,1,,,,,6,1,5,4,3,0,0,0,5,4,3,0,0,0,0,0,2,2,2,2,1,,1,0.00,2,2,2,2,1
Class,"100.Resampler",human/100.py,25,5,13,10,4,4,4,4,2,0,6,0,0,,,,,3,1,4,4,115,24,55,26,48,43,,,48,24,43,,,,,,9,9,9,9,6,0,2,0.78,14,14,14,14,9
Function,"100.Resampler.__init__",human/100.py,,,,,,,,,,,,,,,,,,,,,,8,1,3,2,2,4,1,0,3,2,2,1,1,1,1,1,,,,,,,0,1.33,,,,,
Function,"100.Resampler._validate_timeframe",human/100.py,,,,,,,,,,,,,,,,,,,,,,6,0,5,2,4,1,2,0,5,1,4,2,2,2,2,1,,,,,,,1,0.20,,,,,
Function,"100.Resampler.get_bar_time",human/100.py,,,,,,,,,,,,,,,,,,,,,,75,16,39,18,38,27,9,1,34,18,33,9,9,9,9,6,,,,,,,2,0.69,,,,,
Function,"100.Resampler.get_resampler",human/100.py,,,,,,,,,,,,,,,,,,,,,,11,1,4,1,3,6,2,0,4,1,3,2,2,2,2,1,,,,,,,1,1.50,,,,,
Module File,"100.py",human/100.py,25,5,13,10,4,4,4,4,2,,,,,1,4,,4,,,,,120,25,59,30,48,43,0,0,52,28,43,0,0,0,0,0,9,9,9,9,6,,2,0.73,14,14,14,14,9
Class,"101.GithubClient",human/101.py,5,0,5,0,2,2,2,2,1,0,2,0,0,,,,,4,0,4,4,35,6,25,8,19,4,,,24,5,19,,,,,,3,3,3,3,1,0,1,0.16,8,8,8,8,4
Function,"101.GithubClient.__init__",human/101.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,1,2,0,1,0,3,1,2,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"101.GithubClient.client-getter",human/101.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"101.GithubClient.get_organization",human/101.py,,,,,,,,,,,,,,,,,,,,,,8,0,8,2,7,0,3,0,8,1,7,3,3,3,3,1,,,,,,,1,0.00,,,,,
Function,"101.GithubClient.get_repo_by_full_name",human/101.py,,,,,,,,,,,,,,,,,,,,,,8,0,8,2,7,0,3,0,8,1,7,3,3,3,3,1,,,,,,,1,0.00,,,,,
Module File,"101.py",human/101.py,5,0,5,0,2,2,2,2,1,,,,,1,4,,4,,,,,41,7,30,13,19,4,0,0,29,10,19,0,0,0,0,0,3,3,3,3,1,,1,0.13,8,8,8,8,4
Class,"102.A2ACardResolver",human/102.py,6,0,6,0,2,2,2,2,1,0,1,0,0,,,,,2,2,2,2,13,1,12,8,9,0,,,12,6,9,,,,,,2,2,2,2,1,0,2,0.00,3,3,3,3,2
Function,"102.A2ACardResolver.__init__",human/102.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"102.A2ACardResolver.get_agent_card",human/102.py,,,,,,,,,,,,,,,,,,,,,,8,0,8,4,7,0,2,0,8,2,7,2,2,2,2,1,,,,,,,2,0.00,,,,,
Module File,"102.py",human/102.py,6,0,6,0,2,2,2,2,1,,,,,1,2,,2,,,,,20,2,18,14,9,0,0,0,15,9,9,0,0,0,0,0,2,2,2,2,1,,2,0.00,3,3,3,3,2
Class,"103._LogConfig",human/103.py,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,5,1,3,1,2,1,,,3,1,2,,,,,,0,0,0,0,0,0,0,0.33,0,0,0,0,0
Module File,"103.py",human/103.py,0,0,0,0,0,0,0,0,0,,,,,1,0,,0,,,,,7,2,4,2,2,1,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,,0,0.25,0,0,0,0,0
Class,"104.FletXWidgetRegistry",human/104.py,29,4,22,4,7,7,7,7,5,0,4,0,0,,,,,0,0,2,2,77,12,50,9,45,15,,,32,7,29,,,,,,9,9,9,9,9,0,2,0.30,13,13,13,13,10
Function,"104.FletXWidgetRegistry.register",human/104.py,,,,,,,,,,,,,,,,,,,,,,48,5,37,1,36,6,256,2,21,1,20,9,9,9,9,9,,,,,,,1,0.16,,,,,
Function,"104.FletXWidgetRegistry.register_all",human/104.py,,,,,,,,,,,,,,,,,,,,,,10,2,7,2,6,1,6,1,7,2,6,4,4,4,4,1,,,,,,,2,0.14,,,,,
Module File,"104.py",human/104.py,29,4,22,4,7,7,7,7,5,,,,,1,2,,2,,,,,81,13,53,12,45,15,0,0,35,10,29,0,0,0,0,0,9,9,9,9,9,,2,0.28,13,13,13,13,10
Class,"105.ContainerProc",human/105.py,5,0,3,1,1,1,1,1,1,0,5,0,0,,,,,5,3,5,5,30,5,18,11,12,7,,,17,11,11,,,,,,2,2,2,2,1,0,1,0.39,6,6,6,6,5
Function,"105.ContainerProc.__init__",human/105.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,4,3,0,1,0,4,4,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"105.ContainerProc.close_stdin",human/105.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"105.ContainerProc.is_running",human/105.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,1,,,,,,,0,0.00,,,,,
Function,"105.ContainerProc.read_output",human/105.py,,,,,,,,,,,,,,,,,,,,,,14,1,6,2,5,7,2,0,5,2,4,2,2,2,2,1,,,,,,,1,1.17,,,,,
Function,"105.ContainerProc.write_stdin",human/105.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"105.py",human/105.py,5,0,3,1,1,1,1,1,1,,,,,1,5,,5,,,,,35,6,22,15,12,7,0,0,21,15,11,0,0,0,0,0,2,2,2,2,1,,1,0.32,6,6,6,6,5
Class,"106.Repo",human/106.py,9,1,8,0,3,3,3,3,1,0,0,0,0,,,,,2,3,2,2,20,4,16,8,13,0,,,13,8,10,,,,,,3,3,3,3,1,0,1,0.00,5,5,5,5,2
Function,"106.Repo.__init__",human/106.py,,,,,,,,,,,,,,,,,,,,,,6,0,6,3,5,0,2,0,5,3,4,2,2,2,2,1,,,,,,,1,0.00,,,,,
Function,"106.Repo._load_meta",human/106.py,,,,,,,,,,,,,,,,,,,,,,11,2,9,4,8,0,3,0,7,4,6,3,3,3,3,1,,,,,,,1,0.00,,,,,
Module File,"106.py",human/106.py,9,1,8,0,3,3,3,3,1,,,,,1,2,,2,,,,,23,5,18,10,13,0,0,0,15,10,10,0,0,0,0,0,3,3,3,3,1,,1,0.00,5,5,5,5,2
Class,"107.ProbeResult",human/107.py,5,0,5,0,1,1,1,1,1,0,0,0,0,,,,,1,0,1,1,11,1,10,3,8,0,,,10,3,8,,,,,,1,1,1,1,1,0,0,0.00,1,1,1,1,1
Function,"107.ProbeResult.__init__",human/107.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,1,0,5,1,4,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"107.py",human/107.py,5,0,5,0,1,1,1,1,1,,,,,1,1,,1,,,,,12,2,10,3,8,0,0,0,10,3,8,0,0,0,0,0,1,1,1,1,1,,0,0.00,1,1,1,1,1
Class,"108.EnhancedAudioDetector",human/108.py,30,4,21,7,5,5,6,6,4,0,6,0,0,,,,,11,2,11,11,343,58,235,60,223,80,,,169,59,157,,,,,,13,13,16,16,13,0,3,0.34,60,60,68,68,46
Function,"108.EnhancedAudioDetector.__init__",human/108.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,2,0,1,0,3,3,2,1,1,2,2,1,,,,,,,0,0.00,,,,,
Function,"108.EnhancedAudioDetector._calculate_audio_quality_score",human/108.py,,,,,,,,,,,,,,,,,,,,,,82,12,61,15,60,29,648,3,37,15,36,13,13,14,14,5,,,,,,,2,0.48,,,,,
