Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Module File,"1.py",claude-3-haiku/1.py,16,1,14,1,1,1,1,1,1,,,,,0,1,,1,,,,,18,2,15,7,8,1,0,0,4,3,1,0,0,0,0,0,1,1,1,1,1,,0,0.07,1,1,1,1,1
Function,"1.serve",claude-3-haiku/1.py,,,,,,,,,,,,,,,,,,,,,,16,1,14,6,8,1,1,0,3,2,1,1,1,1,1,1,,,,,,,0,0.07,,,,,
Function,"10.init_logging",claude-3-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,14,1,10,2,9,3,1,0,3,2,2,2,2,2,2,1,,,,,,,0,0.30,,,,,
Module File,"10.py",claude-3-haiku/10.py,14,1,10,3,2,2,2,2,1,,,,,0,1,,1,,,,,18,2,13,5,9,3,0,0,6,5,2,0,0,0,0,0,2,2,2,2,1,,0,0.23,2,2,2,2,1
Module File,"100.py",claude-3-haiku/100.py,14,2,4,8,1,1,1,1,1,,,,,0,1,,1,,,,,16,3,5,3,3,8,0,0,5,3,3,0,0,0,0,0,1,1,1,1,1,,0,1.60,1,1,1,1,1
Function,"100.stripe_get_customers",claude-3-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,14,2,4,2,3,8,1,0,4,2,3,1,1,1,1,1,,,,,,,0,2.00,,,,,
Function,"101._split_args_kwargs_data_proto",claude-3-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,4,4,0,1,0,5,4,4,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"101.py",claude-3-haiku/101.py,5,0,5,0,1,1,1,1,1,,,,,0,1,,1,,,,,5,0,5,4,4,0,0,0,5,4,4,0,0,0,0,0,1,1,1,1,1,,0,0.00,1,1,1,1,1
Function,"102.initialize_from_equilibrium",claude-3-haiku/102.py,,,,,,,,,,,,,,,,,,,,,,28,7,7,5,6,14,1,0,7,4,6,1,1,1,1,1,,,,,,,1,2.00,,,,,
Module File,"102.py",claude-3-haiku/102.py,28,7,7,14,1,1,1,1,1,,,,,0,1,,1,,,,,31,8,9,7,6,14,0,0,9,6,6,0,0,0,0,0,1,1,1,1,1,,1,1.56,1,1,1,1,1
