Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Module File,"1.py",claude-4-5-haiku/1.py,15,1,13,1,1,1,1,1,1,,,,,0,1,,1,,,,,15,1,13,6,7,1,0,0,3,2,1,0,0,0,0,0,1,1,1,1,1,,0,0.08,1,1,1,1,1
Function,"1.serve",claude-4-5-haiku/1.py,,,,,,,,,,,,,,,,,,,,,,15,1,13,6,7,1,1,0,3,2,1,1,1,1,1,1,,,,,,,0,0.08,,,,,
Function,"10.init_logging",claude-4-5-haiku/10.py,,,,,,,,,,,,,,,,,,,,,,29,7,19,10,18,3,4,1,19,10,18,3,3,3,3,1,,,,,,,1,0.16,,,,,
Module File,"10.py",claude-4-5-haiku/10.py,29,7,19,3,3,3,3,3,1,,,,,0,1,,1,,,,,33,8,22,13,18,3,0,0,22,13,18,0,0,0,0,0,3,3,3,3,1,,1,0.14,3,3,3,3,1
Module File,"100.py",claude-4-5-haiku/100.py,75,11,56,8,7,7,7,7,5,,,,,0,1,,1,,,,,78,13,57,13,54,8,0,0,24,13,21,0,0,0,0,0,7,7,7,7,5,,5,0.14,7,7,7,7,5
Function,"100.stripe_get_customers",claude-4-5-haiku/100.py,,,,,,,,,,,,,,,,,,,,,,75,11,56,12,54,8,8,1,23,12,21,7,7,7,7,5,,,,,,,5,0.14,,,,,
Function,"101._split_args_kwargs_data_proto",claude-4-5-haiku/101.py,,,,,,,,,,,,,,,,,,,,,,39,6,16,7,15,17,9,1,14,7,13,5,5,5,5,1,,,,,,,2,1.06,,,,,
Module File,"101.py",claude-4-5-haiku/101.py,39,6,16,17,5,5,5,5,1,,,,,0,1,,1,,,,,39,6,16,7,15,17,0,0,14,7,13,0,0,0,0,0,5,5,5,5,1,,2,1.06,5,5,5,5,1
Function,"102.initialize_from_equilibrium",claude-4-5-haiku/102.py,,,,,,,,,,,,,,,,,,,,,,67,13,37,15,33,17,144,2,28,14,24,11,11,15,15,4,,,,,,,2,0.46,,,,,
Module File,"102.py",claude-4-5-haiku/102.py,67,13,37,17,11,11,15,15,4,,,,,0,1,,1,,,,,67,13,37,15,33,17,0,0,28,14,24,0,0,0,0,0,11,11,15,15,4,,2,0.46,11,11,15,15,4
