Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Module File,"1.py",gpt-3-5/1.py,7,0,6,1,1,1,1,1,1,,,,,0,1,,1,,,,,7,0,6,5,1,1,0,0,2,1,1,0,0,0,0,0,1,1,1,1,1,,0,0.17,1,1,1,1,1
Function,"1.serve",gpt-3-5/1.py,,,,,,,,,,,,,,,,,,,,,,7,0,6,5,1,1,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.17,,,,,
Function,"10.init_logging",gpt-3-5/10.py,,,,,,,,,,,,,,,,,,,,,,4,1,3,2,1,0,1,0,3,2,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"10.py",gpt-3-5/10.py,4,1,3,0,1,1,1,1,1,,,,,0,1,,1,,,,,4,1,3,2,1,0,0,0,3,2,1,0,0,0,0,0,1,1,1,1,1,,0,0.00,1,1,1,1,1
Module File,"100.py",gpt-3-5/100.py,3,0,2,1,1,1,1,1,1,,,,,0,1,,1,,,,,3,0,2,1,1,1,0,0,2,1,1,0,0,0,0,0,1,1,1,1,1,,0,0.50,1,1,1,1,1
Function,"100.stripe_get_customers",gpt-3-5/100.py,,,,,,,,,,,,,,,,,,,,,,3,0,2,1,1,1,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.50,,,,,
Function,"101._split_args_kwargs_data_proto",gpt-3-5/101.py,,,,,,,,,,,,,,,,,,,,,,4,0,4,3,3,0,1,0,4,3,3,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"101.py",gpt-3-5/101.py,4,0,4,0,1,1,1,1,1,,,,,0,1,,1,,,,,4,0,4,3,3,0,0,0,4,3,3,0,0,0,0,0,1,1,1,1,1,,0,0.00,1,1,1,1,1
Function,"102.initialize_from_equilibrium",gpt-3-5/102.py,,,,,,,,,,,,,,,,,,,,,,3,0,3,3,2,0,1,0,3,2,2,1,1,1,1,1,,,,,,,1,0.00,,,,,
Module File,"102.py",gpt-3-5/102.py,3,0,3,0,1,1,1,1,1,,,,,0,1,,1,,,,,13,3,5,5,2,5,0,0,5,4,2,0,0,0,0,0,1,1,1,1,1,,1,1.00,1,1,1,1,1
Function,"103.apply_format",gpt-3-5/103.py,,,,,,,,,,,,,,,,,,,,,,9,0,9,1,8,0,4,1,6,1,5,4,4,4,4,4,,,,,,,1,0.00,,,,,
Module File,"103.py",gpt-3-5/103.py,9,0,9,0,4,4,4,4,4,,,,,0,1,,1,,,,,9,0,9,1,8,0,0,0,6,1,5,0,0,0,0,0,4,4,4,4,4,,1,0.00,4,4,4,4,4
Function,"104.apply_gate",gpt-3-5/104.py,,,,,,,,,,,,,,,,,,,,,,5,0,5,1,4,0,2,0,4,1,3,2,2,2,2,1,,,,,,,1,0.00,,,,,
Module File,"104.py",gpt-3-5/104.py,5,0,5,0,2,2,2,2,1,,,,,0,1,,1,,,,,5,0,5,1,4,0,0,0,4,1,3,0,0,0,0,0,2,2,2,2,1,,1,0.00,2,2,2,2,1
Function,"105.advance_video_slider_by_n_frames",gpt-3-5/105.py,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.00,,,,,
Module File,"105.py",gpt-3-5/105.py,2,0,2,0,1,1,1,1,1,,,,,0,1,,1,,,,,2,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,1,1,1,1,1,,0,0.00,1,1,1,1,1
Module File,"106.py",gpt-3-5/106.py,7,0,7,0,3,3,3,3,3,,,,,0,1,,1,,,,,7,0,7,1,6,0,0,0,5,1,4,0,0,0,0,0,3,3,3,3,3,,1,0.00,3,3,3,3,3
