Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Module File,"1.py",gpt-oss/1.py,8,0,12,1,2,2,2,2,1,,,,,0,2,,1,,,,,28,5,20,10,10,5,2,0,10,6,4,2,2,2,2,1,2,2,2,2,1,,1,0.25,3,3,3,3,2
Function,"1.serve",gpt-oss/1.py,,,,,,,,,,,,,,,,,,,,,,13,0,12,5,7,1,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.08,,,,,
Function,"10.init_logging",gpt-oss/10.py,,,,,,,,,,,,,,,,,,,,,,60,10,26,11,25,24,32,2,26,11,25,6,6,6,6,1,,,,,,,1,0.92,,,,,
Module File,"10.py",gpt-oss/10.py,60,10,26,24,6,6,6,6,1,,,,,0,1,,1,,,,,63,11,28,13,25,24,0,0,28,13,25,0,0,0,0,0,6,6,6,6,1,,1,0.86,6,6,6,6,1
Module File,"100.py",gpt-oss/100.py,37,4,7,26,2,2,2,2,1,,,,,0,1,,1,,,,,40,5,9,5,6,26,0,0,9,4,6,0,0,0,0,0,2,2,2,2,1,,1,2.89,2,2,2,2,1
Function,"100.stripe_get_customers",gpt-oss/100.py,,,,,,,,,,,,,,,,,,,,,,37,4,7,3,6,26,2,0,7,2,6,2,2,2,2,1,,,,,,,1,3.71,,,,,
Function,"101._split_args_kwargs_data_proto",gpt-oss/101.py,,,,,,,,,,,,,,,,,,,,,,42,5,12,5,11,25,4,1,10,5,9,4,4,4,4,1,,,,,,,2,2.08,,,,,
Module File,"101.py",gpt-oss/101.py,42,5,12,25,4,4,4,4,1,,,,,0,1,,1,,,,,42,5,12,5,11,25,0,0,10,5,9,0,0,0,0,0,4,4,4,4,1,,2,2.08,4,4,4,4,1
Function,"102.initialize_from_equilibrium",gpt-oss/102.py,,,,,,,,,,,,,,,,,,,,,,90,15,42,21,37,33,128,2,38,20,33,8,8,9,9,6,,,,,,,1,0.79,,,,,
Module File,"102.py",gpt-oss/102.py,90,15,42,33,8,8,9,9,6,,,,,0,1,,1,,,,,90,15,42,21,37,33,0,0,38,20,33,0,0,0,0,0,8,8,9,9,6,,1,0.79,8,8,9,9,6
