Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Package,"",,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,0,0,0,,0,,0,0,0,0,0
Module File,"1.py",human/1.py,7,0,6,1,1,1,1,1,1,,,,,0,1,,1,,,,,18,1,16,15,1,1,0,0,5,4,1,0,0,0,0,0,1,1,1,1,1,,0,0.06,1,1,1,1,1
Function,"1.serve",human/1.py,,,,,,,,,,,,,,,,,,,,,,7,0,6,5,1,1,1,0,2,1,1,1,1,1,1,1,,,,,,,0,0.17,,,,,
