Config,Model,Model_Name,Granularity,Rank,Feature,Feature_Readable,SHAP_Importance,Is_Top3
claude-3-haiku_Function,claude-3-haiku,Claude 3 Haiku,Function,1,RatioCommentToCode,Comment-to-Code Ratio,0.3368595134673449,Yes
claude-3-haiku_Function,claude-3-haiku,Claude 3 Haiku,Function,2,CountLineBlank,Blank Lines,0.2892038577197059,Yes
claude-3-haiku_Function,claude-3-haiku,Claude 3 Haiku,Function,3,CountStmtDecl,Declarative Statements,0.18981707121665398,Yes
claude-3-haiku_Function,claude-3-haiku,Claude 3 Haiku,Function,4,CountPathLog,Logarithmic Paths,0.12815331952689998,No
claude-3-haiku_Function,claude-3-haiku,Claude 3 Haiku,Function,5,MaxNesting,Maximum Nesting Depth,0.10515223052658565,No
claude-3-haiku_Function,claude-3-haiku,Claude 3 Haiku,Function,6,Essential,Essential Complexity,0.09336846413552491,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,1,AvgCountLineCode,Average Code Lines,0.602897732257098,Yes
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,2,CountClassCoupledModified,Modified Coupled Classes,0.33651855775530887,Yes
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,3,AvgCountLineComment,Average Comment Lines,0.3165091245235271,Yes
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,4,MaxNesting,Maximum Nesting Depth,0.27319185475274466,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,5,AvgCountLineBlank,Average Blank Lines,0.2670440093704842,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,6,CountDeclInstanceMethod,Instance Methods,0.2615367569422353,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,7,CountClassCoupled,Coupled Classes,0.22791037298424227,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,8,RatioCommentToCode,Comment-to-Code Ratio,0.22439742017239614,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,9,CountDeclInstanceVariable,Instance Variables,0.1095917282512145,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,10,AvgEssential,Average Essential Complexity,0.08310267265794151,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,11,CountClassBase,Base Classes,0.015290564149647098,No
claude-3-haiku_Class,claude-3-haiku,Claude 3 Haiku,Class,12,CountClassDerived,Derived Classes,0.0013106826704328872,No
claude-4-5-haiku_Function,claude-4-5-haiku,Claude 4.5 Haiku,Function,1,CountStmtDecl,Declarative Statements,0.6198883942609456,Yes
claude-4-5-haiku_Function,claude-4-5-haiku,Claude 4.5 Haiku,Function,2,CountLineComment,Comment Lines,0.3838561113898389,Yes
claude-4-5-haiku_Function,claude-4-5-haiku,Claude 4.5 Haiku,Function,3,RatioCommentToCode,Comment-to-Code Ratio,0.17776134453564388,Yes
claude-4-5-haiku_Function,claude-4-5-haiku,Claude 4.5 Haiku,Function,4,MaxNesting,Maximum Nesting Depth,0.11808960611796977,No
claude-4-5-haiku_Function,claude-4-5-haiku,Claude 4.5 Haiku,Function,5,CountPathLog,Logarithmic Paths,0.11196180127001079,No
claude-4-5-haiku_Function,claude-4-5-haiku,Claude 4.5 Haiku,Function,6,Essential,Essential Complexity,0.09763865258212756,No
claude-4-5-haiku_Class,claude-4-5-haiku,Claude 4.5 Haiku,Class,1,AvgCountLineBlank,Average Blank Lines,1.8065154519609494,Yes
claude-4-5-haiku_Class,claude-4-5-haiku,Claude 4.5 Haiku,Class,2,AvgCountLineComment,Average Comment Lines,0.7265461630448606,Yes
claude-4-5-haiku_Class,claude-4-5-haiku,Claude 4.5 Haiku,Class,3,RatioCommentToCode,Comment-to-Code Ratio,0.2771500488442077,Yes
