Repetition,Fold,LR,NB,KNN,SVM,RF,XGB,CatBoost,MLP
1,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8595747234392083,0.8755402115592336,0.8782846239136586,0.873959077701278
1,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8729604088926668,0.8882724130679172,0.8904272034300476,0.8820343114855722
1,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8757037201789455,0.8976480083328837,0.8981924865311838,0.8905048287343552
1,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8670999736844713,0.8832493401849134,0.8879916406906341,0.8845122653486147
1,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8604357587295435,0.8860091674933853,0.8876481074290169,0.8809750839289194
1,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8672623812360369,0.8855142373616646,0.8899823718989792,0.8797996936828418
1,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8667977304783371,0.8839171380155889,0.8862816818595718,0.8815971874315273
1,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8863521502209292,0.8942490109655378,0.8995148693747804,0.8890299479525087
1,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8636294068876217,0.8774235886233235,0.8844148208176752,0.8784068424778878
1,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8694705734032586,0.8808429557513744,0.8888141385958518,0.8857339004568332
2,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8602573856898578,0.8755402115592336,0.8778045582019117,0.8729449939386198
2,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8712075084039026,0.8882724130679172,0.8905769486979318,0.8812481488291791
2,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8772479682540032,0.8976480083328837,0.899929972065901,0.8907239412954507
2,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8690081247818509,0.8832493401849134,0.8878793317397208,0.8799488884166529
2,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8609818885300629,0.8860091674933853,0.888244886364262,0.8808737856594684
2,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8673719375165848,0.8855142373616646,0.890039627442582,0.8777473026583089
2,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8662092095541886,0.8839171380155889,0.8857201371050056,0.8829927913068468
2,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8858478610099657,0.8942490109655378,0.8992550172922752,0.8916587481515817
2,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8644359393047194,0.8774235886233235,0.884719816694175,0.8767012879194106
2,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8702930713084763,0.8808429557513744,0.8887315584848862,0.88312106574588
3,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8610886921402452,0.8755402115592336,0.8783892253875485,0.8714976398604286
3,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.872042668592802,0.8882724130679172,0.8904183948848777,0.882371238338312
3,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8758501622423914,0.8976480083328837,0.8988123878974992,0.8907927580545888
3,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8661552572150243,0.8832493401849134,0.8872297015334576,0.8833864231691163
3,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8605045754886816,0.8860091674933853,0.8873893564146579,0.8814656097880554
3,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8661635152261209,0.8855142373616646,0.889369076941541,0.8804829064675642
3,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8682269169321157,0.8839171380155889,0.8862761765188409,0.8833533911247301
3,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8835504823229015,0.8942490109655378,0.8991570222272626,0.8896944425787455
3,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8641458078481935,0.8774235886233235,0.8851723557022667,0.8777687734871599
3,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8693863416900736,0.8808429557513744,0.8883516899744441,0.8846884362520081
4,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8606912065394641,0.8755402115592336,0.8778111646107889,0.8726532108798745
4,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8707368017713984,0.8882724130679172,0.8910856421814801,0.8831728159487519
4,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8766776149542671,0.8976480083328837,0.8982717634377109,0.891575617506543
4,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8681404830826386,0.8832493401849134,0.8874873514796703,0.8827494552465347
4,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8612984456220979,0.8860091674933853,0.8876481074290169,0.8820161438611597
4,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8668626934989634,0.8855142373616646,0.8892920021713064,0.8812228242618163
4,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.868022118256921,0.8839171380155889,0.8855516736786357,0.8813769738022856
4,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8847710163629737,0.8942490109655378,0.899665715710811,0.8869797590642683
4,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8628201218001583,0.8774235886233235,0.884409315476944,0.8788180914304966
4,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8693758815426845,0.8808429557513744,0.88853006301413,0.8815812219434073
5,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8609306888612642,0.8755402115592336,0.878534566382848,0.8742095707045405
5,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8719567852773975,0.8882724130679172,0.8904481237248254,0.8817931775615526
5,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8760252320776385,0.8976480083328837,0.898752930217604,0.8933665048463515
5,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8671919128746798,0.8832493401849134,0.887817671923533,0.8828854371625915
5,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8594057094787653,0.8860091674933853,0.8884188551313629,0.8807499154930197
5,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8663374839932219,0.8855142373616646,0.8895837852300518,0.8830120599994055
5,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8679472456229789,0.8839171380155889,0.8853733006389499,0.8820574339166425
5,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8850672036943039,0.8942490109655378,0.8999861265413578,0.8905642864142506
5,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8629472951710455,0.8774235886233235,0.8845656671537059,0.8780308277059576
5,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8683128002475201,0.8808429557513744,0.8891059216545971,0.8815773682048955
6,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8591172296244586,0.8755402115592336,0.8782934324588283,0.8739249445887455
6,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8722898583916258,0.8882724130679172,0.8906342042415348,0.8825308932195123
6,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8757681326654989,0.8976480083328837,0.8996260772575474,0.8929745245863012
6,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8668891191344724,0.8832493401849134,0.8882889290901103,0.8834684527460089
6,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8596815270493907,0.8860091674933853,0.8879663161232711,0.8829575571261681
6,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8674490122868193,0.8855142373616646,0.889453859188799,0.8831540977902662
6,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8670763007193278,0.8839171380155889,0.8851266613741992,0.8837024297270782
6,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8847319284437833,0.8942490109655378,0.8995985505538925,0.8927350422645007
6,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8625762352057731,0.8774235886233235,0.8844841881108864,0.8773773437611827
6,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8712537532660434,0.8808429557513744,0.888556488649639,0.8831843771642871
7,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8602386675313722,0.8755402115592336,0.8787657906935519,0.8723135313567691
7,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8737350103335245,0.8882724130679172,0.8908257900989751,0.883785560372117
7,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.876260310126854,0.8976480083328837,0.8985481315424092,0.8926221827795143
7,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.8652975251291278,0.8832493401849134,0.8876921501548652,0.8821345086868772
7,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.860591559872232,0.8860091674933853,0.8869247056569579,0.8837316080329527
7,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.867762816708489,0.8855142373616646,0.8892347466277034,0.8808897511475884
7,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8665989876779465,0.8839171380155889,0.8870282060627014,0.8811936459559419
7,8,0.8404546750802954,0.7912347268084768,0.8354839029342365,0.855962118851498,0.8855830541208026,0.8942490109655378,0.8988289039196924,0.8925919034054937
7,9,0.8307487593714664,0.7825665678274494,0.8242480530362505,0.8478615604998408,0.8631972376402348,0.8774235886233235,0.8844682226227663,0.8777698745553062
7,10,0.8274284883765741,0.7800605367266786,0.837291856830311,0.8595609600873808,0.8690945586313283,0.8808429557513744,0.8891169323360594,0.8843234321615399
8,1,0.7988469614372904,0.7685719916891376,0.8274829912498115,0.8327664667493936,0.8610237291196189,0.8755402115592336,0.8775292911653595,0.8727434984678636
8,2,0.8235351114115804,0.7888503637378621,0.8284987266146889,0.8584940250537046,0.8718070400095131,0.8882724130679172,0.8901491837231298,0.8818339170829621
8,3,0.8433791120766256,0.7950796567750374,0.8316119967980937,0.8598775171794157,0.8772947636502171,0.8976480083328837,0.898974244914992,0.892002831947272
8,4,0.8086371088593044,0.766732106816823,0.82759089592814,0.8522487665284092,0.867146218546612,0.8832493401849134,0.8873937606872426,0.8822380090926208
8,5,0.817600354103516,0.7699097894867811,0.8213026957451424,0.847508668158981,0.8610628170388095,0.8860091674933853,0.8875126760470332,0.881436431482181
8,6,0.8156492613484341,0.800233206233367,0.8357822924018591,0.8566145017281265,0.8670928167415209,0.8855142373616646,0.8895815830937592,0.8804531776276165
8,7,0.815764873503786,0.7817495752629625,0.812651603320381,0.8433477316344586,0.8674209350490911,0.8839171380155889,0.8860350425948214,0.8826046647853082
