llm,granularity,feature,feature_full_name,p_value,cliff_delta,effect_size,direction,human_median,llm_median,human_mean,llm_mean,significant_corrected,significant_uncorrected
claude-3-haiku,function,CountLine,Lines,1.1268496418967451e-208,-0.20905723118996727,Small,↓,20.0,15.0,28.8416983085951,19.07973765964791,True,True
claude-3-haiku,function,CountLineBlank,Blank Lines,8.149888481315138e-64,-0.11230012979277362,Negligible,↓,2.0,2.0,3.5558163617535383,2.324404556437694,True,True
claude-3-haiku,function,CountLineCode,Code Lines,6.493392831742706e-96,-0.14078923014285546,Negligible,↓,10.0,9.0,15.952088367276493,10.924404556437695,True,True
claude-3-haiku,function,CountLineCodeDecl,Declarative Code Lines,2.4546697702829396e-20,-0.0620942831960836,Negligible,↓,3.0,3.0,4.876423886779427,4.117017604418364,True,True
claude-3-haiku,function,CountLineCodeExe,Executable Code Lines,6.995729465640848e-110,-0.15087824537042058,Small,↓,9.0,8.0,14.58570935450466,9.47096996893338,True,True
claude-3-haiku,function,CountLineComment,Comment Lines,0.0,-0.2538085927749047,Small,↓,6.0,3.0,9.565964791163273,5.896168450120815,True,True
claude-3-haiku,function,CountPath,Paths,2.2826345182204942e-36,-0.08399155495031402,Negligible,↓,3.0,2.0,932493.1464273386,4834.670693821195,True,True
claude-3-haiku,function,CountPathLog,Paths Log(x),9.19276961769287e-46,-0.08230976088603675,Negligible,↓,0.0,0.0,0.5551950293406973,0.3893683120469451,True,True
claude-3-haiku,function,CountStmt,Statements,6.939951442150419e-62,-0.11239508953651957,Negligible,↓,8.0,8.0,12.569899896444598,9.10693821194339,True,True
claude-3-haiku,function,CountStmtDecl,Declarative Statements,3.238476255684626e-28,-0.07387438637973007,Negligible,↓,3.0,3.0,4.489609941318605,3.707904729030031,True,True
claude-3-haiku,function,CountStmtExe,Executable Statements,6.336602034244378e-74,-0.12314062528112533,Negligible,↓,7.0,6.0,11.471591301346221,7.903762512944425,True,True
claude-3-haiku,function,Cyclomatic,Cyclomatic Complexity,4.885370913726437e-39,-0.08708226964940223,Negligible,↓,3.0,2.0,3.959889540904384,3.100931998619261,True,True
claude-3-haiku,function,CyclomaticModified,Modified Cyclomatic Complexity,4.885370913726437e-39,-0.08708226964940223,Negligible,↓,3.0,2.0,3.959889540904384,3.100931998619261,True,True
claude-3-haiku,function,CyclomaticStrict,Strict Cyclomatic Complexity,1.5438510404426637e-52,-0.10185288984629214,Negligible,↓,3.0,3.0,4.375146703486365,3.29299275112185,True,True
claude-3-haiku,function,CyclomaticStrictModified,Strict Modified Cyclomatic Complexity,1.5438510404426637e-52,-0.10185288984629214,Negligible,↓,3.0,3.0,4.375146703486365,3.29299275112185,True,True
claude-3-haiku,function,Essential,Essential Complexity,5.392497676091873e-30,-0.05720258861100285,Negligible,↓,1.0,1.0,1.9944770452191922,1.690645495340007,True,True
claude-3-haiku,function,MaxNesting,Max Nesting,3.80724662223796e-08,-0.035830688645211516,Negligible,↓,1.0,1.0,1.4111839834311357,1.3117017604418364,True,True
claude-3-haiku,function,RatioCommentToCode,Comment to Code Ratio,3.225324774166284e-92,-0.13815044165646226,Negligible,↓,0.52,0.42,0.9595754228512254,0.7416872626855368,True,True
claude-4-5-haiku,function,CountLine,Lines,1.7280387553298375e-207,0.2085004555794271,Small,↑,20.0,29.0,28.8416983085951,35.79426993441491,True,True
claude-4-5-haiku,function,CountLineBlank,Blank Lines,0.0,0.3749434103268721,Medium,↑,2.0,5.0,3.5558163617535383,6.255781843286158,True,True
claude-4-5-haiku,function,CountLineCode,Code Lines,2.391626962176588e-257,0.23232723936025138,Small,↑,10.0,16.0,15.952088367276493,20.952709699689333,True,True
claude-4-5-haiku,function,CountLineCodeDecl,Declarative Code Lines,0.0,0.2918775746612287,Small,↑,3.0,6.0,4.876423886779427,7.279668622713151,True,True
claude-4-5-haiku,function,CountLineCodeExe,Executable Code Lines,4.7890066687740795e-173,0.19011729010609216,Small,↑,9.0,13.0,14.58570935450466,18.46606834656541,True,True
claude-4-5-haiku,function,CountLineComment,Comment Lines,0.046866614483055694,-0.01343277162083924,Negligible,↓,6.0,6.0,9.565964791163273,8.725992405937177,False,False
claude-4-5-haiku,function,CountPath,Paths,4.902421090205341e-106,0.1467861829378683,Negligible,↑,3.0,4.0,932493.1464273386,208055.06523990334,True,True
claude-4-5-haiku,function,CountPathLog,Paths Log(x),2.1278260582617558e-113,0.1380002904936951,Negligible,↑,0.0,1.0,0.5551950293406973,0.7319986192613048,True,True
claude-4-5-haiku,function,CountStmt,Statements,7.408592597855236e-260,0.2333806471861134,Small,↑,8.0,13.0,12.569899896444598,16.44943044528823,True,True
claude-4-5-haiku,function,CountStmtDecl,Declarative Statements,0.0,0.3031603402469959,Small,↑,3.0,5.0,4.489609941318605,6.802485329651364,True,True
claude-4-5-haiku,function,CountStmtExe,Executable Statements,3.761412973050876e-154,0.17923242700809724,Small,↑,7.0,10.0,11.471591301346221,14.251501553331032,True,True
claude-4-5-haiku,function,Cyclomatic,Cyclomatic Complexity,6.731775972974083e-125,0.1594380865354266,Small,↑,3.0,4.0,3.959889540904384,4.954366586123576,True,True
claude-4-5-haiku,function,CyclomaticModified,Modified Cyclomatic Complexity,6.731775972974083e-125,0.1594380865354266,Small,↑,3.0,4.0,3.959889540904384,4.954366586123576,True,True
claude-4-5-haiku,function,CyclomaticStrict,Strict Cyclomatic Complexity,1.800327405828276e-107,0.14791443757239256,Small,↑,3.0,4.0,4.375146703486365,5.418985157059026,True,True
claude-4-5-haiku,function,CyclomaticStrictModified,Strict Modified Cyclomatic Complexity,1.800327405828276e-107,0.14791443757239256,Small,↑,3.0,4.0,4.375146703486365,5.418985157059026,True,True
claude-4-5-haiku,function,Essential,Essential Complexity,2.6880381920744158e-46,0.0778672377087983,Negligible,↓,1.0,1.0,1.9944770452191922,2.3962720055229547,True,True
claude-4-5-haiku,function,MaxNesting,Max Nesting,6.319903158199586e-84,0.12755395610590223,Negligible,↓,1.0,1.0,1.4111839834311357,1.7739040386606835,True,True
claude-4-5-haiku,function,RatioCommentToCode,Comment to Code Ratio,5.965357123962394e-178,-0.19293428301020576,Small,↓,0.52,0.37,0.9595754228512254,0.5961960648947187,True,True
gpt-3-5,function,CountLine,Lines,0.0,-0.6847554651956262,Large,↓,20.0,7.0,28.8416983085951,9.078356920952709,True,True
gpt-3-5,function,CountLineBlank,Blank Lines,0.0,-0.41563043387342363,Medium,↓,2.0,0.0,3.5558163617535383,1.0275457369692786,True,True
gpt-3-5,function,CountLineCode,Code Lines,0.0,-0.49264505471421344,Large,↓,10.0,5.0,15.952088367276493,6.870693821194339,True,True
gpt-3-5,function,CountLineCodeDecl,Declarative Code Lines,0.0,-0.3626385978424588,Medium,↓,3.0,2.0,4.876423886779427,2.862823610631688,True,True
gpt-3-5,function,CountLineCodeExe,Executable Code Lines,0.0,-0.506091347756103,Large,↓,9.0,4.0,14.58570935450466,5.552019330341733,True,True
gpt-3-5,function,CountLineComment,Comment Lines,0.0,-0.8113504346502977,Large,↓,6.0,0.0,9.565964791163273,1.2209872281670693,True,True
gpt-3-5,function,CountPath,Paths,0.0,-0.349778458641407,Medium,↓,3.0,1.0,932493.1464273386,27.745322747670002,True,True
gpt-3-5,function,CountPathLog,Paths Log(x),0.0,-0.23378273907434505,Small,↓,0.0,0.0,0.5551950293406973,0.20690369347600968,True,True
gpt-3-5,function,CountStmt,Statements,0.0,-0.4627714361529293,Medium,↓,8.0,4.0,12.569899896444598,5.967759751467035,True,True
