Model,Model_Name,Granularity,Config,Feature,Feature_Readable,SHAP_Importance,Rank
claude-3-haiku,Claude 3 Haiku,Function,claude-3-haiku_Function,RatioCommentToCode,Comment-to-Code Ratio,0.3368595134673449,1
claude-3-haiku,Claude 3 Haiku,Function,claude-3-haiku_Function,CountLineBlank,Blank Lines,0.2892038577197059,2
claude-3-haiku,Claude 3 Haiku,Function,claude-3-haiku_Function,CountStmtDecl,Declarative Statements,0.18981707121665398,3
claude-3-haiku,Claude 3 Haiku,Function,claude-3-haiku_Function,CountPathLog,Logarithmic Paths,0.12815331952689998,4
claude-3-haiku,Claude 3 Haiku,Function,claude-3-haiku_Function,MaxNesting,Maximum Nesting Depth,0.10515223052658565,5
claude-3-haiku,Claude 3 Haiku,Function,claude-3-haiku_Function,Essential,Essential Complexity,0.09336846413552491,6
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,AvgCountLineCode,Average Code Lines,0.602897732257098,1
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,CountClassCoupledModified,Modified Coupled Classes,0.33651855775530887,2
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,AvgCountLineComment,Average Comment Lines,0.3165091245235271,3
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,MaxNesting,Maximum Nesting Depth,0.27319185475274466,4
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,AvgCountLineBlank,Average Blank Lines,0.2670440093704842,5
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,CountDeclInstanceMethod,Instance Methods,0.2615367569422353,6
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,CountClassCoupled,Coupled Classes,0.22791037298424227,7
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,RatioCommentToCode,Comment-to-Code Ratio,0.22439742017239614,8
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,CountDeclInstanceVariable,Instance Variables,0.1095917282512145,9
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,AvgEssential,Average Essential Complexity,0.08310267265794151,10
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,CountClassBase,Base Classes,0.015290564149647098,11
claude-3-haiku,Claude 3 Haiku,Class,claude-3-haiku_Class,CountClassDerived,Derived Classes,0.0013106826704328872,12
claude-4-5-haiku,Claude 4.5 Haiku,Function,claude-4-5-haiku_Function,CountStmtDecl,Declarative Statements,0.6198883942609456,1
claude-4-5-haiku,Claude 4.5 Haiku,Function,claude-4-5-haiku_Function,CountLineComment,Comment Lines,0.3838561113898389,2
claude-4-5-haiku,Claude 4.5 Haiku,Function,claude-4-5-haiku_Function,RatioCommentToCode,Comment-to-Code Ratio,0.17776134453564388,3
claude-4-5-haiku,Claude 4.5 Haiku,Function,claude-4-5-haiku_Function,MaxNesting,Maximum Nesting Depth,0.11808960611796977,4
claude-4-5-haiku,Claude 4.5 Haiku,Function,claude-4-5-haiku_Function,CountPathLog,Logarithmic Paths,0.11196180127001079,5
claude-4-5-haiku,Claude 4.5 Haiku,Function,claude-4-5-haiku_Function,Essential,Essential Complexity,0.09763865258212756,6
claude-4-5-haiku,Claude 4.5 Haiku,Class,claude-4-5-haiku_Class,AvgCountLineBlank,Average Blank Lines,1.8065154519609494,1
claude-4-5-haiku,Claude 4.5 Haiku,Class,claude-4-5-haiku_Class,AvgCountLineComment,Average Comment Lines,0.7265461630448606,2
claude-4-5-haiku,Claude 4.5 Haiku,Class,claude-4-5-haiku_Class,RatioCommentToCode,Comment-to-Code Ratio,0.2771500488442077,3
